# ID     zz	  CTIO_U   eCTIO_U   VIMOS_U   eVIMOS_U   ACS_F435W   eACS_F435W   ACS_F606W   eACS_F606W   ACS_F775W	eACS_F775W   ACS_F814W   eACS_F814W   ACS_F850LP   eACS_F850LP   WFC3_F098M   eWFC3_F098M   WFC3_F105W   eWFC3_F105W   WFC3_F125W   eWFC3_F125W   WFC3_F160W   eWFC3_F160W   ISAAC_KS	eISAAC_KS   HAWKI_KS   eHAWKI_KS   IRAC_CH1   eIRAC_CH1   IRAC_CH2   eIRAC_CH2   IRAC_CH3   eIRAC_CH3	IRAC_CH4   eIRAC_CH4   flg1   flg2  
  00449  4.067    98.967   -99.0     98.967    -99.0	  28.724      1.394	   27.166      0.198	    26.335	0.174	     27.024	 0.695        26.375	   0.214	 98.992       -99.0	    25.961	 0.313         26.046	    0.201	  25.986       0.234	     26.125	0.58	    98.997     -99.0	   24.639     0.221	  24.367     0.128	 99.0	    -99.0	25.124     1.162       0      0.35  
  01842  5.041    98.967   -99.0     98.967    -99.0	  28.357      1.01	   27.378      0.255	    26.264	0.217	     25.947	 0.143        25.655	   0.124	 98.992       -99.0	    25.448	 0.143         24.883	    0.086	  24.738       0.08	     24.726	0.213	    98.997     -99.0	   22.589     0.037	  22.864     0.032	 24.617     0.788	23.727     0.354       0      0.06  
  02127  4.033    98.967   -99.0     30.027    1.472	  29.478      1.341	   26.743      0.082	    26.107	0.075	     26.084	 0.168        26.015	   0.095	 98.992       -99.0	    26.171	 0.235         25.903	    0.143	  25.836       0.174	     25.195	0.323	    98.997     -99.0	   25.022     0.303	  25.001     0.297	 25.48      1.573	24.958     0.995       0      0.36  
  02428  0.53	  26.4     0.193     26.18     0.062	  24.555      0.041	   22.722      0.007	    21.475	0.006	     21.326	 0.006        21.031	   0.005	 98.992       -99.0	    20.872	 0.006         20.709	    0.002	  20.637       0.003	     20.947	0.008	    98.997     -99.0	   21.354     0.014	  21.882     0.018	 22.272     0.103	22.88	   0.187       0      0.04  
  03019  2.054    98.967   -99.0     98.967    -99.0	  29.115      1.741	   27.214      0.149	    26.667	0.217	     26.117	 0.162        25.672	   0.085	 98.992       -99.0	    24.921	 0.081         23.88	    0.017	  23.138       0.011	     22.882	0.032	    98.997     -99.0	   21.988     0.018	  21.87      0.013	 21.935     0.057	22.472     0.096       0      0.22  
  05012  1.0443   23.363   0.011     23.286    0.009	  98.971      -99.0	   98.981      -99.0	    98.988	-99.0	     22.528	 0.008        22.35	   0.024	 98.992       -99.0	    98.993	 -99.0         22.105	    0.008	  22.098       0.009	     98.997	-99.0	    21.801     0.008	   21.368     0.012	  21.656     0.012	 21.999     0.085	22.155     0.106       0      0.03  
  05088  3.0201   25.698   0.111     25.546    0.036	  25.541      0.081	   25.239      0.042	    24.556	0.045	     24.526	 0.036        24.228	   0.04 	 98.992       -99.0	    24.126	 0.025         24.071	    0.018	  23.972       0.02	     23.794	0.095	    23.841     0.022	   23.642     0.098	  24.122     0.183	 24.284     0.727	25.023     1.503       0      0.0   
  06131  5.063    98.967   -99.0     28.613    0.714	  27.12       0.412	   27.293      0.347	    26.505	0.324	     26.945	 0.276        26.64	   0.39 	 98.992       -99.0	    25.84	 0.12	       25.017	    0.051	  24.195       0.029	     23.079	0.058	    23.014     0.016	   21.212     0.008	  20.784     0.008	 20.521     0.022	20.844     0.033       0      0.46  
  06401  1.018    27.036   0.325     27.369    0.148	  27.796      0.88	   25.328      0.068	    23.836	0.037	     23.496	 0.017        22.954	   0.019	 98.992       -99.0	    22.529	 0.007         22.08	    0.005	  21.684       0.004	     21.136	0.011	    21.096     0.002	   20.547     0.005	  20.814     0.005	 21.235     0.031	21.569     0.048       0      0.03  
  07885  0.508    27.184   0.395     26.675    0.086	  25.579      0.154	   23.499      0.014	    22.442	0.014	     22.309	 0.009        22.033	   0.012	 98.992       -99.0	    21.784	 0.005         21.512	    0.003	  21.203       0.003	     20.935	0.009	    20.857     0.002	   21.045     0.005	  21.382     0.01	 21.407     0.035	21.985     0.063       0      0.03  
  10578  3.064    28.863   1.791     30.707    1.51	  27.356      0.119	   25.307      0.012	    24.588	0.007	     24.527	 0.037        24.348	   0.011	 98.992       -99.0	    24.106	 0.017         23.636	    0.013	  22.627       0.007	     21.659	0.017	    21.674     0.003	   21.068     0.006	  20.853     0.005	 20.605     0.014	20.275     0.011       0      0.02  
  15669  3.096    98.967   -99.0     98.967    -99.0	  29.101      0.442	   27.762      0.083	    27.623	0.086	     27.586	 0.478        27.114	   0.099	 98.992       -99.0	    26.402	 0.048         25.647	    0.019	  24.838       0.01	     24.0	0.119	    23.719     0.023	   22.26      0.048	  21.735     0.022	 21.197     0.039	20.761     0.032       0      0.27  
  18883  3.098    98.967   -99.0     30.45     1.749	  98.971      -99.0	   29.295      2.441	    98.988	-99.0	     27.759	 1.254        26.808	   0.522	 98.992       -99.0	    98.993	 -99.0         25.637	    0.146	  24.778       0.082	     98.997	-99.0	    98.997     -99.0	   22.543     0.023	  22.072     0.011	 21.569     0.06	21.718     0.074       0      0.35  
  19203  0.561    27.472   0.532     27.731    0.186	  26.246      0.135	   25.435      0.05	    23.999	0.017	     23.879	 0.021        23.785	   0.031	 98.992       -99.0	    23.635	 0.011         23.49	    0.009	  23.404       0.01	     23.627	0.057	    23.596     0.017	   24.257     0.253	  24.616     0.249	 25.047     1.373	99.0	   -99.0       0      0.79  
  21662  2.058    29.713   3.149     30.635    2.387	  27.413      0.574	   28.043      0.819	    25.962	0.255	     26.261	 0.264        25.311	   0.177	 24.911       0.103	    98.993	 -99.0         23.631	    0.022	  22.916       0.014	     22.085	0.039	    98.997     -99.0	   20.852     0.004	  20.576     0.002	 20.632     0.021	20.442     0.018       0      0.0   
  22707  5.003    30.868   3.438     98.967    -99.0	  98.971      -99.0	   27.889      0.299	    25.778	0.102	     25.972	 0.125        25.647	   0.107	 25.786       0.111	    98.993	 -99.0         25.785	    0.063	  25.684       0.072	     26.271	1.443	    25.701     0.584	   24.778     0.282	  25.123     0.27	 99.0	    -99.0	99.0	   -99.0       0      0.36  
  22959  2.006    29.731   5.313     28.435    0.374	  26.695      0.371	   27.024      0.413	    27.118	0.984	     26.515	 0.369        26.03	   0.389	 25.664       0.222	    98.993	 -99.0         24.67	    0.056	  23.92        0.035	     23.642	0.103	    98.997     -99.0	   22.509     0.028	  22.194     0.015	 21.848     0.102	21.992     0.125       0      0.47  
  23482  2.0821   25.36    0.068     25.327    0.027	  24.811      0.056	   24.511      0.024	    24.402	0.043	     24.356	 0.043        24.303	   0.046	 24.31        0.042	    98.993	 -99.0         23.717	    0.015	  23.45        0.014	     23.306	0.066	    98.997     -99.0	   22.995     0.027	  22.927     0.019	 22.73      0.145	23.344     0.274       0      0.0   
  23720  1.02	  25.667   0.099     25.598    0.037	  25.425      0.063	   25.131      0.033	    24.583	0.039	     24.455	 0.09	      24.106	   0.031	 24.09        0.036	    98.993	 -99.0         23.932	    0.02	  23.854       0.023	     23.618	0.142	    98.997     -99.0	   23.297     0.099	  23.675     0.094	 24.215     0.659	99.0	   -99.0       0      0.0   
  23751  4.029    30.021   4.818     98.967    -99.0	  26.612      1.238	   28.143      1.077	    26.237	0.718	     26.737	 0.849        26.163	   0.661	 98.992       -99.0	    98.993	 -99.0         26.004	    0.371	  25.172       0.214	     98.997	-99.0	    98.997     -99.0	   22.333     0.037	  21.999     0.026	 21.579     0.082	21.322     0.073       0      0.48  
  24572  4.035    98.967   -99.0     98.967    -99.0	  29.876      3.295	   26.512      0.098	    26.137	0.145	     26.136	 0.275        25.876	   0.134	 25.791       0.112	    98.993	 -99.0         25.988	    0.088	  25.776       0.088	     26.437	1.055	    98.997     -99.0	   27.696     4.102	  26.783     1.188	 99.0	    -99.0	99.0	   -99.0       0      0.35  
  25835  0.545    23.851   0.019     23.842    0.012	  23.545      0.031	   22.631      0.009	    21.982	0.01	     21.916	 0.012        21.737	   0.01 	 21.666       0.006	    98.993	 -99.0         21.432	    0.003	  21.195       0.003	     20.939	0.017	    98.997     -99.0	   21.154     0.01	  21.43      0.008	 21.563     0.045	21.583     0.05        0      0.03  
  26600  1.039    25.989   0.145     25.844    0.049	  25.091      0.094	   25.033      0.059	    24.564	0.071	     24.576	 0.077        24.175	   0.064	 24.059       0.038	    98.993	 -99.0         23.968	    0.023	  23.949       0.028	     24.191	0.292	    98.997     -99.0	   24.559     0.258	  23.519     0.066	 23.209     0.228	24.336     0.703       0      0.0   
