# ID      zz        CTIO_U   eCTIO_U   VIMOS_U   eVIMOS_U   ACS_F435W   eACS_F435W   ACS_F606W   eACS_F606W   ACS_F775W   eACS_F775W   ACS_F814W   eACS_F814W   ACS_F850LP   eACS_F850LP   WFC3_F098M   eWFC3_F098M   WFC3_F105W   eWFC3_F105W   WFC3_F125W   eWFC3_F125W   WFC3_F160W   eWFC3_F160W   ISAAC_KS   eISAAC_KS   HAWKI_KS   eHAWKI_KS   IRAC_CH1   eIRAC_CH1   IRAC_CH2   eIRAC_CH2   IRAC_CH3   eIRAC_CH3   IRAC_CH4   eIRAC_CH4   flg1   flg2  
  21      1.084     26.871   0.268     26.421    0.07       98.971      -99.0        98.981      -99.0        98.988      -99.0        24.646      0.083        98.991       -99.0         98.992       -99.0         98.993       -99.0         23.614       0.038         23.302       0.022         98.997     -99.0       98.997     -99.0       22.171     0.025       22.258     0.016       23.064     0.27        23.087     0.246       0      0.02  
  25      1.098     24.952   0.05      25.074    0.027      98.971      -99.0        98.981      -99.0        98.988      -99.0        24.48       0.077        98.991       -99.0         98.992       -99.0         98.993       -99.0         23.683       0.061         23.541       0.037         98.997     -99.0       98.997     -99.0       22.314     0.03        22.336     0.018       22.829     0.224       23.463     0.35        0      0.0   
  40      1.056     23.7     0.018     23.391    0.01       23.527      0.035        23.01       0.025        22.412      0.033        22.385      0.024        21.916       0.022         98.992       -99.0         98.993       -99.0         21.602       0.007         21.432       0.007         98.997     -99.0       98.997     -99.0       20.553     0.006       20.78      0.004       21.196     0.048       21.19      0.043       0      0.02  
  58      1.097     24.121   0.024     24.038    0.014      98.971      -99.0        23.331      0.038        98.988      -99.0        22.715      0.028        22.401       0.053         98.992       -99.0         98.993       -99.0         22.011       0.009         21.845       0.009         98.997     -99.0       98.997     -99.0       21.063     0.009       21.268     0.007       21.754     0.073       21.642     0.061       0      0.0   
  79      1.012     23.96    0.026     23.951    0.015      23.858      0.045        22.988      0.018        22.084      0.018        21.882      0.015        21.434       0.012         98.992       -99.0         98.993       -99.0         20.787       0.004         20.484       0.004         98.997     -99.0       98.997     -99.0       19.323     0.002       19.51      0.002       19.804     0.013       19.827     0.012       0      0.0   
  143     1.007     25.2     0.062     25.098    0.026      98.971      -99.0        24.605      0.07         98.988      -99.0        23.954      0.042        23.579       0.07          98.992       -99.0         98.993       -99.0         23.303       0.019         23.159       0.021         98.997     -99.0       98.997     -99.0       22.459     0.031       22.715     0.026       23.087     0.222       23.293     0.269       0      0.0   
  170     1.048     25.537   0.086     25.551    0.036      25.651      0.118        25.38       0.059        24.8        0.076        24.766      0.091        24.262       0.051         98.992       -99.0         98.993       -99.0         24.013       0.041         23.936       0.047         98.997     -99.0       98.997     -99.0       23.354     0.074       23.606     0.058       25.945     2.846       24.273     0.594       0      0.0   
  190     1.089     25.201   0.069     25.095    0.03       24.962      0.075        24.598      0.032        24.01       0.042        23.78       0.058        23.472       0.026         98.992       -99.0         23.358       0.03          23.078       0.019         22.911       0.02          98.997     -99.0       98.997     -99.0       22.509     0.042       22.823     0.039       23.538     0.389       23.287     0.286       0      0.0   
  239     1.022     24.96    0.048     25.04     0.024      25.168      0.089        24.874      0.038        24.436      0.06         24.334      0.067        24.015       0.041         98.992       -99.0         23.872       0.047         23.66        0.031         23.604       0.038         98.997     -99.0       98.997     -99.0       23.143     0.057       23.479     0.05        24.022     0.45        99.0       -99.0       0      0.0   
  267     1.08444   27.341   0.485     26.593    0.088      26.714      0.268        25.503      0.058        24.473      0.052        24.303      0.045        23.738       0.029         98.992       -99.0         23.445       0.029         23.046       0.015         22.666       0.014         98.997     -99.0       98.997     -99.0       21.309     0.016       21.434     0.013       21.731     0.074       21.629     0.068       0      0.0   
