# ID      zz                   CTIO_U             eCTIO_U            VIMOS_U            eVIMOS_U           ACS_F435W          eACS_F435W         ACS_F606W          eACS_F606W         ACS_F775W          eACS_F775W         ACS_F814W          eACS_F814W         ACS_F850LP         eACS_F850LP        WFC3_F098M   eWFC3_F098M   WFC3_F105W         eWFC3_F105W        WFC3_F125W         eWFC3_F125W        WFC3_F160W         eWFC3_F160W        ISAAC_KS           eISAAC_KS          HAWKI_KS           eHAWKI_KS          IRAC_CH1           eIRAC_CH1          IRAC_CH2           eIRAC_CH2          IRAC_CH3           eIRAC_CH3          IRAC_CH4           eIRAC_CH4          f24            ef24           f70            ef70           f100           ef100          f160           ef160          f250           ef250          flg1   flg2  
  21      1.084                6.48037294192E-8   1.59959660627E-8   9.80844136031E-8   6.32373584129E-9   -99.0              -99.0              -99.0              -99.0              -99.0              -99.0              5.03037081085E-7   3.84550847131E-8   -99.0              -99.0              -99.0        -99.0         -99.0              -99.0              1.30136763011E-6   4.5546947525E-8    1.73460262788E-6   3.51478173484E-8   -99.0              -99.0              -99.0              -99.0              4.91586559157E-6   1.13191988303E-7   4.53732616938E-6   6.68645094379E-8   2.15973268069E-6   5.37080573744E-7   2.11446256165E-6   4.79083029457E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.02  
  25      1.0979999999999999   3.79489706208E-7   1.74761468092E-8   3.39156386906E-7   8.43411355938E-9   -99.0              -99.0              -99.0              -99.0              -99.0              -99.0              5.86138164514E-7   4.15686964014E-8   -99.0              -99.0              -99.0        -99.0         -99.0              -99.0              1.22123713017E-6   6.86128588267E-8   1.39187424884E-6   4.74326516712E-8   -99.0              -99.0              -99.0              -99.0              4.30923322819E-6   1.19068514321E-7   4.22279501306E-6   7.00080829045E-8   2.68163706676E-6   5.53252899113E-7   1.49554677274E-6   4.82107318672E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  40      1.056                1.20226443462E-6   1.99318763879E-8   1.59808545947E-6   1.47189110253E-8   1.40993794936E-6   4.54510294594E-8   2.26986485188E-6   5.22655697106E-8   3.93731353701E-6   1.19671192829E-7   4.03645392968E-6   8.92250750115E-8   6.21727389294E-6   1.25979059228E-7   -99.0        -99.0         -99.0              -99.0              8.30233015925E-6   5.3527100653E-8    9.70957006529E-6   6.25999116168E-8   -99.0              -99.0              -99.0              -99.0              2.18172495899E-5   1.20566576822E-7   1.77010895832E-5   6.52132240064E-8   1.20670190959E-5   5.33478495114E-7   1.21338885046E-5   4.80556145603E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.02  
  58      1.097                8.15830617449E-7   1.80337864142E-8   8.80643228418E-7   1.1355433432E-8    -99.0              -99.0              1.68888469479E-6   5.91097709746E-8   -99.0              -99.0              2.97851642943E-6   7.6812820332E-8    3.97740669105E-6   1.94156327938E-7   -99.0        -99.0         -99.0              -99.0              5.69639373341E-6   4.72191526598E-8   6.63743070402E-6   5.50196963815E-8   -99.0              -99.0              -99.0              -99.0              1.36395486751E-5   1.13062397236E-7   1.12927574421E-5   7.28070978459E-8   7.21771949669E-6   4.852868689E-7     8.00202677119E-6   4.49578480393E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  79      1.012                9.46237161366E-7   2.26594324549E-8   9.54113410282E-7   1.31815638932E-8   1.03944137515E-6   4.30812398783E-8   2.31632769599E-6   3.84014996875E-8   5.32598574849E-6   8.82974548078E-8   6.41504932511E-6   8.86271816809E-8   9.69170083947E-6   1.07116636218E-7   -99.0        -99.0         -99.0              -99.0              1.75873335414E-5   6.47941312605E-8   2.3248771015E-5    8.56516377114E-8   -99.0              -99.0              -99.0              -99.0              6.77329514009E-5   1.2476870736E-7    5.70164272281E-5   1.05028140313E-7   4.34910607232E-5   5.20737714119E-7   4.25794453583E-5   4.70605421519E-7   3.6574611E-4   2.5737118E-5   0.0017722118   3.3391064E-4   0.004989704    6.5028993E-4   0.0076996354   0.0022088187   -99.0          -99.0          0      0.0   
  143     1.0070000000000001   3.0199517204E-7    1.72451656161E-8   3.31741649695E-7   7.94417912404E-9   -99.0              -99.0              5.22396188999E-7   3.36801269679E-8   -99.0              -99.0              9.51480736352E-7   3.68065380445E-8   1.34400226308E-6   8.66510281259E-8   -99.0        -99.0         -99.0              -99.0              1.73300573533E-6   3.0326988109E-8    1.97879133523E-6   3.82732176175E-8   -99.0              -99.0              -99.0              -99.0              3.77050915833E-6   1.07655785444E-7   2.97851642943E-6   7.13261903083E-8   2.11446256165E-6   4.32343221705E-7   1.74904103997E-6   4.33339182841E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  170     1.048                2.21411411209E-7   1.75377603515E-8   2.18574754869E-7   7.24733240062E-9   1.9934254565E-7    2.16649498134E-8   2.55858588691E-7   1.39036136647E-8   4.3651583224E-7    3.05554913844E-8   4.50401678168E-7   3.77500101163E-8   7.16473282391E-7   3.36547102711E-8   -99.0        -99.0         -99.0              -99.0              9.0115604434E-7    3.40298109762E-8   9.67386449969E-7   4.18768048346E-8   -99.0              -99.0              -99.0              -99.0              1.65348401217E-6   1.12695714083E-7   1.31099187465E-6   7.00331520644E-8   1.52054752973E-7   3.98575478155E-7   7.09251070556E-7   3.88027159879E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  190     1.089                3.0171715226E-7    1.91745319118E-8   3.32659553294E-7   9.19172314148E-9   3.76010523668E-7   2.59738867982E-8   5.25775082257E-7   1.54962158934E-8   9.03649473722E-7   3.49562607657E-8   1.11686324778E-6   5.96628058339E-8   1.48320096718E-6   3.55180429443E-8   -99.0        -99.0         1.64740355944E-6   4.55194425372E-8   2.13206283581E-6   3.73103463833E-8   2.48656605131E-6   4.58042393799E-8   -99.0              -99.0              -99.0              -99.0              3.60080829173E-6   1.39291613921E-7   2.69649736354E-6   9.68590682684E-8   1.39572545771E-6   5.00063644068E-7   1.75873335414E-6   4.63278038513E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  239     1.022                3.76703798984E-7   1.66539369987E-8   3.49945167028E-7   7.73547383966E-9   3.11028366869E-7   2.54956264054E-8   4.0775566175E-7    1.42711600466E-8   6.10379585559E-7   3.37308224346E-8   6.70501880163E-7   4.13761885935E-8   8.9949758153E-7    3.39671834476E-8   -99.0        -99.0         1.02612436519E-6   4.44194869368E-8   1.24738351424E-6   3.56153628958E-8   1.31340903653E-6   4.59683882416E-8   -99.0              -99.0              -99.0              -99.0              2.00816780418E-6   1.05426681303E-7   1.47366917704E-6   6.7864973581E-8    8.9371696085E-7    3.70414683254E-7   -99.0              -99.0              -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  267     1.08444              4.20339303237E-8   1.87766200645E-8   8.37143674435E-8   6.78513279998E-9   7.48858907522E-8   1.84846177493E-8   2.28454648855E-7   1.2204041438E-8    5.89929345104E-7   2.82539403319E-8   6.89922009844E-7   2.85948744335E-8   1.16091387013E-6   3.10079944706E-8   -99.0        -99.0         1.52054752973E-6   4.06138048718E-8   2.19583650097E-6   3.03366023628E-8   3.11601830311E-6   4.01794248477E-8   -99.0              -99.0              -99.0              -99.0              1.08742671955E-5   1.60249123466E-7   9.69170083947E-6   1.16043022569E-7   7.37224908104E-6   5.02466832741E-7   8.09841447326E-6   5.0720624565E-7    6.6327614E-5   6.4762883E-6   -99.0          -99.0          0.0013085683   3.5748279E-4   0.0023521932   6.7953825E-4   -99.0          -99.0          0      0.0   
  274     1.072                7.08598126917E-7   1.69687178332E-8   7.37904230129E-7   1.01945236821E-8   7.67008187694E-7   2.75511852593E-8   1.17057703596E-6   1.72502606925E-8   2.11836113525E-6   3.90216541728E-8   2.42549285711E-6   5.13811140027E-8   3.44191388268E-6   4.75517975858E-8   -99.0        -99.0         -99.0              -99.0              4.67304539632E-6   3.87363048064E-8   5.4651237452E-6    5.03356498682E-8   -99.0              -99.0              -99.0              -99.0              1.04423921854E-5   1.05795784958E-7   8.49571627156E-6   7.04235947083E-8   6.20011864209E-6   3.99736421282E-7   4.95678406594E-6   3.9262154822E-7    -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  300     1.0893               4.60892880981E-7   1.78289172972E-8   5.03964563613E-7   8.81920181595E-9   4.69461519383E-7   2.37814521178E-8   7.90678628E-7      1.60213224352E-8   1.5819763986E-6    3.93404609472E-8   1.78978143941E-6   4.45081398707E-8   2.63269167422E-6   4.36463755452E-8   -99.0        -99.0         -99.0              -99.0              4.08131391597E-6   3.7590290331E-8    4.92946741312E-6   4.54020727274E-8   -99.0              -99.0              -99.0              -99.0              1.10662378398E-5   1.01923817142E-7   8.83079900419E-6   7.32011981266E-8   6.14893638513E-6   3.68119680712E-7   5.72796030986E-6   3.64019602228E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.03  
