# ID      zz    CTIO_U eCTIO_U   VIMOS_U   eVIMOS_U   ACS_F435W   eACS_F435W   ACS_F606W   eACS_F606W   ACS_F775W   eACS_F775W   ACS_F814W   eACS_F814W   ACS_F850LP   eACS_F850LP   WFC3_F098M   eWFC3_F098M   WFC3_F105W   eWFC3_F105W   WFC3_F125W   eWFC3_F125W   WFC3_F160W   eWFC3_F160W   ISAAC_KS   eISAAC_KS   HAWKI_KS   eHAWKI_KS   IRAC_CH1   eIRAC_CH1   IRAC_CH2   eIRAC_CH2   IRAC_CH3   eIRAC_CH3   IRAC_CH4   eIRAC_CH4   flg1   flg2   RA   DEC  
  105   3.003   27.418 0.444  27.139 0.135 26.067 0.11  25.307 0.036 25.132 0.056 25.05  0.091 25.197 0.061 98.992 -99.0 98.993 -99.0 98.994 -99.0 24.916 0.069 98.997 -99.0 98.997 -99.0 23.874 0.122 23.811 0.078 23.207 0.257    23.516 0.316   0    0.0  53.1293229 -27.9466351
  322   3.042   98.967 -99.0  27.748 0.183 26.507 0.247 25.8   0.108 98.988 -99.0 25.476 0.074 25.34  0.157 98.992 -99.0 98.993 -99.0 25.361 0.07  25.027 0.064 24.046 0.212 98.997 -99.0 24.875 0.316 24.728 0.185 25.47  1.929    24.175 0.608   0    0.0  53.0811369 -27.9369651
  404   3.095   27.314 0.403  29.718 1.056 98.971 -99.0 26.582 0.221 98.988 -99.0 26.498 0.177 25.75  0.281 98.992 -99.0 98.993 -99.0 26.039 0.232 25.516 0.126 24.801 0.412 98.997 -99.0 24.739 0.254 24.775 0.173 24.274 0.651    25.655 2.447   0    0.06 53.0718283 -27.9342817
  444   3.088   28.619 1.364  27.775 0.258 26.868 0.246 25.846 0.06  25.681 0.112 25.719 0.113 25.673 0.105 98.992 -99.0 25.704 0.148 25.968 0.13  25.623 0.107 25.539 0.455 98.997 -99.0 24.719 0.242 25.051 0.244 24.723 0.798    24.06  0.432   0    0.35 53.1185261 -27.9330738
  489   3.0715  28.15  0.891  27.834 0.188 25.965 0.128 24.754 0.03  24.327 0.047 24.491 0.058 24.254 0.043 98.992 -99.0 24.176 0.045 23.925 0.03  23.36  0.022 22.905 0.046 98.997 -99.0 22.42  0.031 22.258 0.018 22.196 0.087    22.205 0.088   0    0.0  53.0913477 -27.9319538
  490   3.004   29.245 2.443  98.967 -99.0 27.194 0.346 26.132 0.081 25.64  0.118 25.585 0.111 25.605 0.109 98.992 -99.0 25.299 0.121 25.156 0.085 24.491 0.06  24.258 0.137 98.997 -99.0 23.151 0.058 22.856 0.033 22.551 0.11     22.316 0.089   0    0.0  53.1225537 -27.9315483
  600   3.074   26.979 0.313  28.516 0.459 27.007 0.195 25.917 0.036 25.716 0.047 25.818 0.091 25.826 0.072 98.992 -99.0 25.676 0.12  25.539 0.084 25.284 0.087 25.34  0.375 98.997 -99.0 24.013 0.134 24.285 0.133 26.875 6.52     24.163 0.531   0    0.08 53.1488769 -27.9283796
  687   3.056   28.257 1.144  98.967 -99.0 27.759 0.712 25.811 0.098 25.395 0.164 25.383 0.122 25.287 0.138 98.992 -99.0 98.993 -99.0 24.732 0.078 24.031 0.053 23.702 0.102 98.997 -99.0 23.186 0.083 23.043 0.05  22.945 0.217    23.282 0.312   0    0.01 53.0845265 -27.9261986
  693   3.065   28.573 1.262  28.541 0.419 27.28  0.203 26.499 0.053 26.413 0.07  26.322 0.195 26.383 0.107 98.992 -99.0 26.413 0.214 26.44  0.184 25.945 0.151 25.854 0.52  98.997 -99.0 24.395 0.164 24.342 0.122 23.953 0.385    24.431 0.594   0    0.36 53.1645934 -27.9257485
  754   3.058   27.67  0.567  27.432 0.153 25.964 0.069 25.571 0.019 25.506 0.026 25.402 0.073 25.667 0.045 98.992 -99.0 25.819 0.098 25.818 0.08  25.557 0.082 25.727 0.469 98.997 -99.0 25.712 0.65  25.454 0.409 25.285 1.466    25.786 2.319   0    0.08 53.1632293 -27.9238634
  1112  3.055   28.383 1.091  27.545 0.174 26.09  0.121 25.268 0.027 25.088 0.035 25.103 0.073 25.16  0.053 98.992 -99.0 25.072 0.113 24.963 0.066 24.696 0.082 24.818 0.287 98.997 -99.0 24.238 0.148 24.227 0.118 24.31  0.556    25.18  1.258   0    0.36 53.1622676 -27.9150836
  1224  3.008   28.206 0.899  27.455 0.15  26.294 0.091 25.626 0.022 25.543 0.031 25.531 0.102 25.659 0.047 98.992 -99.0 25.644 0.111 25.689 0.09  25.294 0.083 24.884 0.231 98.997 -99.0 25.202 0.363 25.733 0.5   23.875 0.359    23.925 0.379   0    0.09 53.1814996 -27.9128685
  1280  3.022   28.718 1.47   27.668 0.194 26.414 0.078 25.474 0.019 25.244 0.024 25.313 0.083 25.204 0.032 98.992 -99.0 25.151 0.073 25.226 0.062 24.73  0.051 24.41  0.15  98.997 -99.0 23.942 0.121 23.815 0.115 24.344 0.591    23.666 0.32    0    0.0  53.2025002 -27.9112634
  1284  3.05    27.064 0.428  27.612 0.214 26.058 0.168 25.345 0.05  25.42  0.12  25.359 0.094 25.454 0.114 98.992 -99.0 25.433 0.154 25.465 0.131 25.004 0.112 25.551 0.408 98.997 -99.0 25.419 0.974 24.607 0.34  23.884 0.647    24.457 1.209   0    0.37 53.132139  -27.9111665
  1340  3.098   98.967 -99.0  27.922 0.228 26.737 0.128 25.835 0.028 25.734 0.038 25.784 0.101 25.78  0.052 98.992 -99.0 25.918 0.141 25.872 0.083 25.624 0.098 24.851 0.21  98.997 -99.0 25.203 0.507 25.448 0.543 26.571 5.481    24.174 0.642   0    0.09 53.1820318 -27.9098032
  1526  3.067   98.967 -99.0  28.059 0.293 26.444 0.173 25.571 0.052 25.292 0.063 25.44  0.139 25.239 0.074 98.992 -99.0 25.324 0.129 25.306 0.102 24.633 0.072 98.997 -99.0 98.997 -99.0 24.119 0.136 24.254 0.18  23.541 0.286    24.127 0.498   0    0.05 53.2199778 -27.906148 
  1558  3.041   98.967 -99.0  29.355 0.732 27.459 0.279 25.746 0.03  25.358 0.034 25.283 0.093 25.237 0.042 98.992 -99.0 25.163 0.099 24.895 0.038 24.143 0.024 23.768 0.086 98.997 -99.0 23.121 0.054 22.953 0.041 22.693 0.122    22.597 0.115   0    0.0  53.1883601 -27.9058495
  1604  3.035   26.954 0.3    26.885 0.1   25.45  0.085 24.613 0.031 24.219 0.051 24.246 0.068 24.168 0.022 98.992 -99.0 24.164 0.047 24.072 0.032 23.696 0.029 98.997 -99.0 98.997 -99.0 23.198 0.052 23.252 0.069 23.061 0.206    22.963 0.183   0    0.0  53.2439991 -27.9049453
  1644  3.094   98.967 -99.0  30.467 2.631 27.059 0.299 26.325 0.082 26.226 0.13  26.131 0.197 26.075 0.149 98.992 -99.0 26.235 0.356 26.024 0.188 25.269 0.119 25.715 0.448 98.997 -99.0 25.349 0.997 25.611 0.966 99.0   -99.0    25.95  5.052   0    0.35 53.1546159 -27.9040392
  1673  3.052   27.912 1.108  27.84  0.263 25.993 0.139 24.73  0.027 24.387 0.048 24.378 0.041 24.297 0.04  98.992 -99.0 24.269 0.057 24.03  0.038 23.478 0.03  23.092 0.066 98.997 -99.0 22.548 0.054 22.478 0.035 22.362 0.142    22.252 0.137   0    0.0  53.0932115 -27.9042931
  1747  3.045   27.485 0.477  27.78  0.245 26.385 0.2   25.447 0.049 25.18  0.09  25.128 0.087 25.262 0.091 98.992 -99.0 25.17  0.103 25.154 0.095 24.737 0.084 24.659 0.205 98.997 -99.0 24.467 0.192 24.524 0.159 24.287 0.558    30.588 186.352 0    0.04 53.1217423 -27.9023201
  1853  3.097   27.926 0.744  98.967 -99.0 28.434 0.791 27.135 0.128 26.842 0.23  26.804 0.217 26.626 0.171 98.992 -99.0 26.487 0.242 26.234 0.165 25.561 0.115 25.41  0.325 98.997 -99.0 23.944 0.179 23.932 0.136 23.512 0.341    23.393 0.314   0    0.26 53.1276192 -27.9004064
  1859  3.089   98.967 -99.0  29.789 1.162 27.568 0.257 26.441 0.049 26.316 0.069 26.199 0.115 26.119 0.083 98.992 -99.0 26.254 0.193 26.09  0.108 25.434 0.074 25.149 0.263 98.997 -99.0 25.219 0.348 24.812 0.196 26.14  2.814    25.459 1.535   0    0.35 53.1569587 -27.900368 
  1860  3.052   27.267 0.373  27.293 0.124 25.939 0.082 25.047 0.017 24.791 0.022 24.763 0.059 24.787 0.03  98.992 -99.0 24.782 0.063 24.719 0.036 24.357 0.032 24.058 0.101 98.997 -99.0 23.855 0.105 23.679 0.074 23.504 0.255    23.581 0.279   0    0.55 53.1760937 -27.9005442
  1904  3.004   26.631 0.225  26.436 0.069 25.374 0.054 24.573 0.012 24.476 0.019 24.575 0.075 24.456 0.025 98.992 -99.0 24.473 0.049 24.442 0.037 24.032 0.032 23.738 0.08  98.997 -99.0 23.569 0.103 23.457 0.102 23.442 0.296    23.511 0.329   0    0.0  53.2058934 -27.8998149
  2138  3.092   29.649 3.559  29.841 1.538 26.72  0.203 25.595 0.038 25.287 0.074 25.241 0.071 25.205 0.061 98.992 -99.0 25.057 0.075 25.051 0.063 24.428 0.046 24.686 0.214 98.997 -99.0 23.783 0.098 23.712 0.072 24.123 0.445    23.814 0.344   0    0.0  53.1270078 -27.8964372
  2169  3.074   28.862 1.656  29.58  1.073 27.71  0.43  26.838 0.137 26.238 0.134 26.462 0.293 26.211 0.146 98.992 -99.0 25.966 0.191 26.019 0.165 25.319 0.114 98.997 -99.0 98.997 -99.0 24.542 0.248 24.053 0.184 23.721 0.385    24.002 0.519   0    0.35 53.2147293 -27.8957317
  2202  3.03    28.534 1.211  27.647 0.197 26.946 0.212 26.019 0.051 25.569 0.079 25.664 0.092 25.585 0.077 98.992 -99.0 25.459 0.101 25.507 0.079 25.606 0.116 27.148 2.387 98.997 -99.0 24.223 0.149 24.559 0.152 99.0   -99.0    99.0   -99.0   0    0.07 53.1043646 -27.8954154
  2501  3.014   29.269 2.36   28.449 0.351 26.607 0.157 25.743 0.046 25.503 0.053 25.468 0.132 25.436 0.062 98.992 -99.0 25.388 0.064 25.116 0.059 24.711 0.052 24.339 0.147 98.997 -99.0 23.793 0.096 23.717 0.104 23.762 0.319    23.58  0.274   0    0.0  53.2074325 -27.8911355
  2507  3.001   29.049 1.942  31.034 3.619 28.236 0.445 27.087 0.091 26.802 0.176 26.824 0.181 26.699 0.151 98.992 -99.0 27.184 0.341 26.759 0.188 25.813 0.103 27.245 1.834 98.997 -99.0 25.213 0.347 25.213 0.286 25.2   1.153    24.297 0.513   0    0.05 53.1382405 -27.8909232
  2669  3.093   98.967 -99.0  28.482 0.313 26.882 0.183 25.652 0.051 25.472 0.062 25.47  0.13  25.412 0.037 98.992 -99.0 25.269 0.079 25.347 0.066 24.834 0.053 24.608 0.214 98.997 -99.0 24.003 0.11  23.93  0.141 23.641 0.43     24.334 0.827   0    0.0  53.2458459 -27.8889405
  2717  3.025   31.44  3.278  98.967 -99.0 98.971 -99.0 29.161 0.98  28.732 1.197 27.556 0.571 26.768 0.238 98.992 -99.0 26.43  0.305 25.428 0.1   23.977 0.038 22.729 0.037 98.997 -99.0 21.833 0.016 21.624 0.012 21.384 0.037    21.432 0.039   0    0.0  53.189329  -27.8884508
  2961  3.089   98.967 -99.0  28.411 0.418 26.881 0.158 26.086 0.041 26.088 0.099 26.037 0.086 25.984 0.082 98.992 -99.0 26.164 0.141 26.098 0.09  25.678 0.077 25.7   0.409 98.997 -99.0 25.314 0.473 24.981 0.287 25.49  1.821    25.172 1.383   0    0.55 53.1299515 -27.8852883
  2983  3.037   27.074 0.307  28.135 0.268 26.548 0.183 25.919 0.06  25.951 0.121 26.055 0.137 26.168 0.165 98.992 -99.0 25.854 0.168 26.077 0.154 25.839 0.161 26.34  0.82  98.997 -99.0 25.531 0.499 25.494 0.436 26.313 3.431    25.131 1.196   0    0.35 53.1892653 -27.8849937
  3032  3.037   27.406 0.652  27.19  0.167 25.497 0.117 24.437 0.024 24.058 0.037 24.04  0.033 23.979 0.036 98.992 -99.0 23.943 0.051 23.791 0.028 23.387 0.023 23.215 0.058 98.997 -99.0 22.75  0.08  22.712 0.061 22.459 0.162    22.651 0.207   0    0.0  53.118275  -27.8850026
  3066  3.046   29.697 3.642  28.408 0.378 27.496 0.314 26.545 0.075 26.347 0.153 26.497 0.142 26.369 0.137 98.992 -99.0 26.186 0.178 26.23  0.123 25.946 0.125 25.262 0.317 24.037 0.665 25.312 0.45  25.631 0.456 26.272 3.576    24.568 0.753   0    0.35 53.1073953 -27.8840483
  3209  3.066   27.925 0.792  27.282 0.159 25.871 0.116 24.809 0.028 24.497 0.052 24.45  0.04  24.472 0.044 98.992 -99.0 24.56  0.069 24.476 0.037 24.086 0.033 23.604 0.093 24.046 0.203 23.55  0.076 23.552 0.06  24.148 0.47     23.474 0.256   0    0.0  53.1014775 -27.8832622
  3374  3.048   28.023 0.762  27.134 0.104 98.971 -99.0 25.266 0.048 25.187 0.095 25.286 0.047 25.374 0.109 98.992 -99.0 98.993 -99.0 25.701 0.15  24.986 0.092 98.997 -99.0 24.352 0.07  24.903 0.289 25.419 0.312 99.0   -99.0    99.0   -99.0   0    0.0  53.0547509 -27.8804342
  3437  3.091   28.165 0.843  28.216 0.226 26.726 0.148 25.816 0.039 25.457 0.063 25.483 0.299 25.444 0.037 98.992 -99.0 25.559 0.09  25.299 0.054 25.159 0.061 24.365 0.119 98.997 -99.0 24.315 0.132 24.497 0.208 26.625 5.096    23.812 0.389   0    0.07 53.2391891 -27.8797963
  3496  3.03    26.729 0.235  26.922 0.091 25.719 0.086 25.083 0.024 24.915 0.053 24.962 0.041 24.926 0.05  98.992 -99.0 24.944 0.067 24.89  0.04  24.545 0.036 24.626 0.186 98.997 -99.0 24.374 0.17  24.069 0.107 23.811 0.334    22.948 0.154   0    0.0  53.1781164 -27.8793367
  3518  3.037   27.663 0.555  29.917 1.496 27.036 0.235 25.747 0.048 25.402 0.086 25.424 0.064 25.397 0.077 98.992 -99.0 25.287 0.111 25.133 0.057 24.453 0.038 24.232 0.132 98.997 -99.0 23.384 0.067 23.22  0.047 23.156 0.18     23.473 0.244   0    0.0  53.1271558 -27.8792162
  3738  3.024   27.303 0.391  28.072 0.218 26.743 0.219 25.841 0.052 25.674 0.11  25.685 0.089 25.677 0.105 98.992 -99.0 25.842 0.184 25.735 0.105 25.244 0.085 25.366 0.394 98.997 -99.0 25.07  0.326 24.913 0.227 99.0   -99.0    25.508 1.632   0    0.07 53.1736022 -27.8768432
  3749  3.038   30.527 7.683  27.603 0.165 26.155 0.101 25.666 0.036 25.585 0.072 25.721 0.057 25.746 0.076 98.992 -99.0 98.993 -99.0 25.994 0.111 25.41  0.078 25.423 0.357 25.245 0.101 24.957 0.224 25.153 0.259 25.079 1.025    24.603 0.678   0    0.08 53.0974136 -27.8766874
  3759  3.077   27.774 0.606  29.315 0.799 27.358 0.257 26.616 0.078 26.431 0.131 26.632 0.172 26.59  0.162 98.992 -99.0 26.191 0.149 26.523 0.144 25.974 0.104 25.653 0.415 98.997 -99.0 25.201 0.354 25.075 0.367 24.09  0.431    24.569 0.693   0    0.37 53.2058121 -27.8765249
  3789  3.014   27.169 0.378  27.581 0.153 26.131 0.088 25.275 0.029 24.989 0.052 24.948 0.046 24.948 0.05  98.992 -99.0 25.049 0.088 24.918 0.036 24.503 0.033 24.297 0.151 98.997 -99.0 23.906 0.143 23.955 0.118 25.779 2.484    23.762 0.395   0    0.0  53.1703675 -27.8766104
  3959  3.015   27.327 0.413  27.468 0.154 26.246 0.143 25.503 0.045 25.249 0.072 25.318 0.085 25.324 0.083 98.992 -99.0 25.447 0.117 25.443 0.071 25.025 0.073 25.668 0.485 98.997 -99.0 25.488 0.624 25.183 0.452 99.0   -99.0    24.332 0.654   0    0.08 53.1948029 -27.8745083
  4165  3.005   27.119 0.328  27.592 0.174 98.971 -99.0 98.981 -99.0 98.988 -99.0 25.433 0.046 25.773 0.189 98.992 -99.0 98.993 -99.0 25.453 0.104 25.244 0.106 98.997 -99.0 24.744 0.106 24.054 0.131 24.13  0.098 24.462 0.762    24.175 0.61    0    0.08 53.0502885 -27.8727815
  4219  3.016   28.923 3.542  28.122 0.463 26.297 0.225 24.904 0.048 24.474 0.069 24.469 0.044 24.377 0.066 98.992 -99.0 24.229 0.043 24.01  0.024 23.52  0.019 23.071 0.062 23.159 0.018 22.606 0.052 22.433 0.041 22.47  0.168    22.393 0.169   0    0.0  53.0784552 -27.8731791
  4277  3.037   29.545 3.033  28.572 0.351 27.069 0.249 26.384 0.081 26.474 0.173 26.435 0.128 26.253 0.15  98.992 -99.0 26.581 0.245 26.649 0.22  25.834 0.132 25.421 0.333 98.997 -99.0 26.121 0.815 26.493 1.423 99.0   -99.0    24.555 0.682   0    0.07 53.2173723 -27.8717152
  4386  3.027   29.066 2.004  29.648 1.027 27.604 0.311 26.814 0.089 26.516 0.157 26.323 0.12  26.341 0.129 98.992 -99.0 26.367 0.205 26.166 0.069 25.615 0.051 25.79  0.459 24.721 0.129 24.847 0.245 24.695 0.18  25.106 1.043    24.948 0.911   0    0.08 53.1421788 -27.8709031
  4654  3.072   98.967 -99.0  28.316 0.285 26.661 0.189 25.459 0.039 25.03  0.065 25.049 0.051 25.032 0.059 98.992 -99.0 98.993 -99.0 24.846 0.032 24.376 0.026 24.342 0.137 23.985 0.034 23.878 0.105 23.745 0.088 23.058 0.179    23.232 0.219   0    0.0  53.1321065 -27.8682561
  4773  3.0255  24.829 0.046  24.735 0.019 24.404 0.044 24.023 0.016 23.702 0.028 23.68  0.021 23.56  0.024 98.992 -99.0 98.993 -99.0 23.43  0.016 23.2   0.016 23.105 0.056 23.003 0.016 22.858 0.041 22.984 0.046 22.875 0.159    22.867 0.164   0    0.0  53.1278608 -27.8674939
  4821  3.096   98.967 -99.0  98.967 -99.0 29.901 5.227 28.824 1.356 26.858 0.427 26.329 0.188 26.362 0.302 98.992 -99.0 25.621 0.126 25.344 0.065 24.577 0.039 23.491 0.066 23.574 0.019 22.98  0.067 23.269 0.094 22.663 0.185    22.829 0.242   0    0.13 53.0825515 -27.8667455
  5013  3.007   27.155 0.346  27.093 0.101 25.951 0.101 25.379 0.034 25.256 0.068 25.314 0.055 25.372 0.078 98.992 -99.0 25.521 0.123 25.426 0.058 25.122 0.052 24.848 0.254 24.507 0.071 25.376 0.385 25.063 0.25  24.566 0.621    24.916 0.872   0    0.09 53.1537882 -27.8645591
  5026  3.042   28.34  1.259  27.543 0.172 26.131 0.115 25.675 0.053 25.667 0.098 25.79  0.083 25.854 0.128 98.992 -99.0 25.972 0.093 25.939 0.075 25.718 0.074 25.261 0.295 25.666 0.093 98.999 -99.0 25.176 0.507 99.0   -99.0    99.0   -99.0   0    0.32 53.1165348 -27.8642639
  5077  3.078   27.522 0.477  28.165 0.25  26.636 0.144 25.794 0.039 25.642 0.078 25.735 0.063 25.703 0.085 98.992 -99.0 25.745 0.113 25.888 0.07  25.425 0.06  25.402 0.364 98.997 -99.0 24.877 0.292 24.349 0.19  25.177 1.251    24.368 0.601   0    0.08 53.1927501 -27.863774 
  5087  3.078   27.319 0.45   27.669 0.193 26.191 0.154 25.082 0.031 24.798 0.049 24.848 0.048 24.84  0.053 98.992 -99.0 98.993 -99.0 24.844 0.041 24.411 0.032 24.298 0.179 23.933 0.034 24.059 0.102 24.1   0.117 23.584 0.283    23.649 0.305   0    0.06 53.1291264 -27.8643911
  5088  3.0201  25.698 0.111  25.546 0.036 25.541 0.081 25.239 0.042 24.556 0.045 24.526 0.036 24.228 0.04  98.992 -99.0 24.126 0.025 24.071 0.018 23.972 0.02  23.794 0.095 23.841 0.022 23.642 0.098 24.122 0.183 24.284 0.727    25.023 1.503   0    0.0  53.1166187 -27.8639806
  5107  3.027   28.805 1.598  28.267 0.31  27.001 0.245 26.013 0.066 25.752 0.102 25.913 0.107 25.805 0.116 98.992 -99.0 25.826 0.081 25.876 0.076 25.255 0.053 25.919 0.709 24.828 0.055 24.585 0.135 24.852 0.218 25.498 1.596    24.378 0.576   0    0.36 53.107047  -27.8636598
  5113  3.067   28.65  1.363  28.824 0.404 27.676 0.403 26.07  0.058 25.889 0.099 26.188 0.11  25.83  0.099 98.992 -99.0 98.993 -99.0 25.864 0.066 25.309 0.049 24.588 0.174 24.962 0.063 24.846 0.187 24.961 0.236 19.194 2262.509 26.464 3.623   0    0.08 53.1309202 -27.8634036
  5278  3.0322  27.742 0.662  26.781 0.102 25.593 0.089 24.883 0.037 24.734 0.064 24.792 0.037 24.805 0.062 98.992 -99.0 24.798 0.042 24.813 0.031 24.438 0.027 24.286 0.189 24.102 0.037 24.431 0.192 24.465 0.167 24.855 0.982    26.494 4.824   0    0.0  53.0608208 -27.8618111
  5319  3.052   28.215 0.977  28.174 0.241 26.52  0.219 25.982 0.067 25.777 0.106 25.889 0.097 25.824 0.124 98.992 -99.0 98.993 -99.0 25.944 0.091 25.516 0.073 25.385 0.354 25.389 0.094 25.837 0.571 26.079 0.683 25.647 1.788    25.007 1.004   0    0.36 53.147977  -27.8611499
  5559  3.095   26.785 0.248  26.664 0.065 25.393 0.056 24.683 0.024 24.613 0.039 24.539 0.037 24.557 0.043 98.992 -99.0 24.584 0.061 24.608 0.045 24.418 0.049 24.464 0.149 98.997 -99.0 23.009 0.044 23.772 0.119 23.717 0.316    24.323 0.566   0    0.0  53.2222133 -27.8585777
  5652  3.017   98.967 -99.0  98.967 -99.0 98.971 -99.0 26.637 0.224 25.406 0.142 25.417 0.083 25.148 0.119 98.992 -99.0 26.014 0.224 24.459 0.035 23.845 0.024 23.058 0.06  23.134 0.019 22.281 0.015 21.925 0.015 21.671 0.048    21.487 0.042   0    0.0  53.0854282 -27.8581424
  5868  3.009   98.967 -99.0  27.694 0.172 26.234 0.149 25.146 0.029 24.714 0.042 24.689 0.036 24.567 0.044 98.992 -99.0 98.993 -99.0 24.381 0.024 23.837 0.018 23.573 0.099 23.302 0.013 23.204 0.045 23.182 0.047 23.222 0.181    23.048 0.158   0    0.0  53.1559794 -27.8559071
  5966  3.083   28.072 0.913  27.155 0.104 25.747 0.101 25.027 0.027 24.851 0.056 24.851 0.04  24.896 0.061 98.992 -99.0 98.993 -99.0 24.855 0.037 24.641 0.036 24.358 0.175 24.092 0.024 23.772 0.123 26.858 2.016 99.0   -99.0    23.809 0.422   0    0.23 53.1632859 -27.8547097
  6178  3.077   27.432 0.532  27.215 0.115 25.804 0.107 24.956 0.027 24.86  0.058 24.83  0.039 24.836 0.061 98.992 -99.0 98.993 -99.0 24.87  0.035 24.449 0.029 24.022 0.131 24.091 0.032 24.522 0.212 24.495 0.201 24.608 0.809    23.824 0.399   0    0.0  53.1684851 -27.8526687
  6192  3.08    98.967 -99.0  28.861 0.436 27.046 0.26  25.778 0.048 25.519 0.071 25.505 0.068 25.531 0.08  98.992 -99.0 25.369 0.043 25.354 0.038 24.896 0.03  24.584 0.145 24.538 0.031 23.837 0.095 24.13  0.169 24.335 0.696    25.709 2.564   0    0.0  53.1338033 -27.8525739
  6433  3.02    28.154 0.913  28.78  0.4   27.414 0.387 25.903 0.054 25.454 0.086 25.584 0.062 25.443 0.09  98.992 -99.0 25.446 0.046 25.213 0.039 24.677 0.029 24.576 0.159 24.19  0.026 23.799 0.07  23.697 0.078 23.506 0.238    23.63  0.271   0    0.0  53.1576359 -27.8499125
  6572  3.053   27.876 0.685  27.692 0.199 26.279 0.136 25.473 0.04  25.332 0.063 25.276 0.036 25.262 0.063 98.992 -99.0 25.338 0.044 25.256 0.035 24.822 0.029 24.396 0.106 24.365 0.035 24.274 0.09  24.539 0.158 25.105 1.016    24.491 0.63    0    0.0  53.0891378 -27.8485186
  6954  3.054   27.555 0.676  28.322 0.416 26.09  0.143 24.957 0.041 24.591 0.046 24.516 0.029 24.459 0.051 98.992 -99.0 24.439 0.034 24.234 0.022 23.754 0.017 23.385 0.051 23.356 0.013 23.038 0.043 23.071 0.073 23.344 0.282    23.243 0.292   0    0.0  53.1103263 -27.8455952
  6959  3.022   27.756 0.608  27.6   0.174 26.589 0.15  25.714 0.056 25.628 0.094 25.779 0.073 25.572 0.096 98.992 -99.0 25.662 0.075 25.771 0.073 25.393 0.063 24.864 0.195 25.15  0.087 25.765 0.354 25.336 0.323 99.0   -99.0    23.883 0.354   0    0.35 53.0902866 -27.8448839
  7052  3.02    28.153 0.851  27.792 0.178 26.375 0.133 25.725 0.042 25.507 0.075 25.543 0.055 25.547 0.09  98.992 -99.0 98.993 -99.0 25.596 0.056 25.094 0.045 24.65  0.182 24.654 0.064 24.63  0.209 24.533 0.234 23.795 0.32     24.27  0.507   0    0.0  53.2042138 -27.8440973
  7100  3.068   98.967 -99.0  27.725 0.17  26.485 0.16  25.508 0.043 25.402 0.072 25.401 0.043 25.306 0.069 98.992 -99.0 25.42  0.064 25.362 0.04  24.894 0.032 24.348 0.112 24.351 0.04  24.345 0.087 24.209 0.103 24.107 0.358    27.441 8.622   0    0.0  53.080447  -27.8436576
  7355  3.033   98.967 -99.0  98.967 -99.0 27.935 0.52  27.008 0.176 26.619 0.188 26.708 0.123 26.29  0.181 98.992 -99.0 26.326 0.117 25.923 0.064 25.321 0.045 24.778 0.204 24.495 0.035 24.014 0.091 23.996 0.141 24.0   0.417    24.374 0.668   0    0.06 53.1134705 -27.8412596
  7480  3.035   30.467 7.203  28.63  0.36  26.888 0.214 26.091 0.059 25.795 0.092 25.787 0.082 25.81  0.106 98.992 -99.0 98.993 -99.0 25.775 0.068 25.369 0.059 25.079 0.299 25.224 0.101 24.431 0.174 24.583 0.246 24.058 0.409    24.458 0.606   0    0.08 53.209268  -27.840077 
  7545  3.009   28.479 1.223  28.166 0.309 26.099 0.134 25.088 0.038 24.847 0.038 24.841 0.038 24.864 0.058 98.992 -99.0 98.993 -99.0 24.694 0.036 24.193 0.028 24.048 0.118 24.069 0.048 23.534 0.074 23.501 0.056 23.761 0.31     23.176 0.195   0    0.0  53.0419835 -27.8396441
  7881  3.048   28.644 1.441  27.993 0.266 26.879 0.24  25.979 0.057 25.467 0.08  25.514 0.059 25.401 0.088 98.992 -99.0 25.217 0.039 25.046 0.036 24.509 0.027 23.786 0.069 23.736 0.016 23.224 0.043 23.143 0.065 23.131 0.191    22.84  0.162   0    0.0  53.153438  -27.8367095
  8193  3.001   98.967 -99.0  31.085 3.141 27.6   0.431 26.739 0.118 26.265 0.153 26.452 0.148 26.316 0.179 98.992 -99.0 26.0   0.073 25.84  0.066 25.044 0.039 25.174 0.391 24.322 0.041 23.726 0.128 23.511 0.122 23.336 0.265    23.186 0.241   0    0.03 53.2119246 -27.8337553
