#	ID	BPASS_log10M*_16	BPASS_log10M*_50	BPASS_log10M*_84	BPASS_SFR10_16	BPASS_SFR10_50	BPASS_SFR10_84	BPASS_SFR100_16	BPASS_SFR100_50	BPASS_SFR100_84	BPASS_A_V_16	BPASS_A_V_50	BPASS_A_V_84	PEGASE_log10M*_16	PEGASE_log10M*_50	PEGASE_log10M*_84	PEGASE_SFR10_16	PEGASE_SFR10_50	PEGASE_SFR10_84	PEGASE_SFR100_16	PEGASE_SFR100_50	PEGASE_SFR100_84	PEGASE_A_V_16	PEGASE_A_V_50	PEGASE_A_V_84
8167	11.20323	11.21394	11.22068	-17.06827	-12.03895	-7.31137	-16.87624	-11.89872	-7.20991	0.95301	0.97681	1.14863	10.48146	10.48743	10.49307	-14.85662	-12.58503	-8.82602	-14.65518	-12.41047	-8.70221	0.12965	0.14769	0.16794
26345	9.44487	9.57525	9.64276	0.93672	0.98129	1.47444	0.90778	0.9442	1.30725	0.28565	0.33609	1.07722	9.53699	9.57008	9.63892	0.63548	0.98924	1.4211	0.72962	0.96123	1.31908	0.33823	0.64502	1.27533
16435	11.03972	11.12904	11.8115	-0.32489	1.86562	2.60459	-0.18432	1.85832	2.5944	2.1828	2.32462	3.65075	10.74413	10.77267	10.7894	0.84321	0.87919	0.91517	0.85349	0.88913	0.92978	0.74104	0.7968	0.94268
23855	10.21457	10.79042	11.38588	-5.15381	-0.92273	1.24228	-4.99583	-0.73795	1.23051	1.398	1.79798	3.62862	10.08025	10.12836	10.17298	0.81321	0.90496	0.98664	0.81487	0.90604	0.98991	1.26334	1.40034	1.61907
25028	9.65804	9.90328	10.15212	0.21743	1.1887	1.39219	0.29157	1.16207	1.35321	0.39712	1.42074	1.71342	9.56267	9.64076	9.68606	0.47466	0.92081	1.20038	0.49727	0.90363	1.16024	0.64068	1.14689	1.508
22002	11.52098	11.53811	11.5732	-21.35927	-16.36606	-7.95579	-21.14823	-16.17569	-7.83545	0.1469	0.58209	0.72305	-99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99
2903	9.54359	9.58758	10.25452	0.31528	1.55806	1.62299	0.33691	1.398	1.4535	1.01806	1.82805	1.96497	9.62079	9.66742	9.71493	0.15367	1.38837	1.56666	0.17283	1.31909	1.45531	0.86682	1.8922	2.12351
17233	9.09102	9.5374	9.5798	0.86359	1.59167	1.64369	0.83669	1.41616	1.46788	0.35546	1.40873	1.49896	9.33188	9.34357	9.35466	1.34239	1.4252	1.44316	1.20611	1.25469	1.26858	1.14244	1.25488	1.28591
482	11.067	11.63782	11.67059	-3.85272	-2.07617	-1.52745	-3.76681	-1.87027	-1.34249	1.62969	3.53411	3.59482	10.53216	10.54132	10.55055	-6.78282	-0.08727	0.1753	-6.62311	-0.06266	0.19528	0.33141	0.55286	0.67877
25389	9.165	9.31898	9.60004	-0.04418	0.30784	0.74372	-0.02077	0.30486	0.71726	0.20553	0.58725	1.24724	9.13442	9.19876	9.27739	-0.25997	0.14885	0.63055	-0.22845	0.15467	0.60549	0.19388	0.61824	1.18965
22857	9.8537	9.90181	10.06942	1.37819	1.42514	1.48757	1.34536	1.37399	1.42988	0.91013	0.95428	1.5003	9.91321	9.92034	9.9324	1.91967	1.98494	2.0105	1.78421	1.82208	1.8368	2.043	2.12459	2.15954
18767	10.55182	11.17821	11.20864	-5.23126	-2.43928	-1.77025	-5.10547	-2.24402	-1.59961	0.64308	2.75508	2.84319	10.03583	10.04942	10.07229	-5.87264	-3.98633	-2.48435	-5.68794	-3.84395	-2.38575	0.01477	0.06694	0.15395
952	8.93887	8.97495	9.0255	0.67058	0.97044	1.02533	0.60251	0.80962	0.85863	0.4097	0.9175	1.04225	9.02657	9.0603	9.09036	0.85492	1.04216	1.13701	0.7677	0.90825	0.96998	1.0267	1.31291	1.44991
21174	9.56099	9.70468	10.18139	0.3671	0.79156	0.87591	0.36938	0.77229	0.84739	0.55636	1.07551	2.08563	9.46632	9.52507	9.59047	0.4414	1.05414	1.26672	0.57642	1.02776	1.19465	1.39365	1.82327	2.07412
15775	10.47148	11.12377	11.62888	-1.45022	2.05905	2.56599	-1.24149	2.00323	2.56813	2.09418	2.84659	3.32863	10.57014	10.65864	10.66549	0.95568	1.05863	1.0913	1.00398	1.06161	1.09517	0.94368	0.98281	1.06101
8461	8.87655	9.12207	9.29515	0.44256	0.72806	1.05642	0.42379	0.6303	0.90206	0.24931	0.56932	1.18863	9.09142	9.12425	9.15737	0.78848	0.98697	1.14028	0.73095	0.88629	0.99333	1.03678	1.31796	1.53646
24313	10.19263	10.48929	10.65519	0.4149	0.59382	0.70499	0.42868	0.61974	0.73054	0.05316	0.19711	0.35152	10.10215	10.14551	10.18966	0.27452	0.33801	0.40581	0.29332	0.35407	0.42074	0.04326	0.10371	0.16728
