# ID      tau_v16   tau_v50   tau_v84   age_mw16   age_mw50   age_mw84   Mstar16   Mstar50   Mstar84   SFR16_7   SFR50_7   SFR84_7   SFR16_8   SFR50_8   SFR84_8   Av        Av_std             AGNFRAC_8_1000  
  21      1.212     3.232     4.267     9.125      9.225      9.225      9.802     9.862     9.882     0.272     0.407     0.427     0.277     0.412     0.437     0.915     0.022195663991     0.0             
  25      0.157     0.157     0.157     9.425      9.425      9.425      9.692     9.702     9.717     0.032     0.042     0.057     0.032     0.042     0.057     0.1025    0.00252932303196   0.05543         
  40      0.727     0.837     1.262     8.775      8.875      8.975      10.18     10.24     10.29     0.897     1.127     1.242     0.907     1.137     1.247     0.6125    0.0155831286974    0.01417         
  58      0.822     0.822     0.822     8.725      8.725      8.725      10.02     10.03     10.04     1.047     1.067     1.082     1.052     1.072     1.087     0.54      0.0124069375754    0.01639         
  79      2.272     3.097     3.877     8.875      9.125      9.225      10.97     11.03     11.07     1.247     1.667     1.762     1.257     1.672     1.767     1.9325    0.0389941675126    0.004674        
  143     0.467     0.677     0.887     8.825      9.075      9.225      9.367     9.507     9.587     0.167     0.242     0.317     0.172     0.252     0.327     0.705     0.0147104546157    0.003535        
  170     0.587     0.587     0.587     8.025      8.025      8.025      8.312     8.322     8.322     0.092     0.102     0.102     0.107     0.117     0.117     0.315     0.00775979864429   0.1038          
  190     0.212     0.212     0.212     9.425      9.425      9.425      9.672     9.677     9.687     -0.893    -0.893    -0.883    -0.873    -0.873    -0.863    0.145     0.00286127157047   0.3508          
  239     0.192     0.192     0.232     9.025      9.025      9.075      9.222     9.237     9.297     -0.113    -0.003    0.017     -0.013    0.007     0.037     0.0975    0.00254281340251   0.01568         
  267     2.932     2.932     3.172     8.625      8.625      8.725      10.16     10.16     10.33     1.357     1.387     1.397     1.367     1.392     1.402     2.2925    0.0465884642374    0.004794        
  274     0.762     0.972     3.567     8.775      8.975      9.075      9.937     10.03     10.09     0.712     0.847     0.907     0.727     0.852     0.917     0.48125   0.0113723909096    0.007724        
  300     1.147     1.587     2.687     8.875      9.125      9.175      10.0      10.11     10.17     0.487     0.717     0.852     0.502     0.722     0.852     0.1575    0.00564773184562   0.05101         
  344     1.712     1.712     3.362     8.425      8.425      8.475      9.212     9.217     9.222     0.577     0.617     0.622     0.577     0.627     0.632     0.3475    0.0101364441497    0.02051         
  407     1.387     1.387     1.387     9.275      9.275      9.275      9.412     9.427     9.427     -1.633    -1.618    -1.618    -1.618    -1.603    -1.603    0.34      0.00639884950597   0.0             
  482     2.982     3.272     3.812     8.975      9.175      9.225      10.56     10.63     10.66     0.292     1.077     1.157     0.307     1.087     1.157     2.095     0.040891617723     0.005359        
