# ID dust:Av_16 dust:Av_median dust:Av_84 dblplaw:tau_16 dblplaw:tau_median dblplaw:tau_84 dblplaw:beta_16 dblplaw:beta_median dblplaw:beta_84 dblplaw:metallicity_16 dblplaw:metallicity_median dblplaw:metallicity_84 dblplaw:massformed_16 dblplaw:massformed_median dblplaw:massformed_84 dblplaw:alpha_16 dblplaw:alpha_median dblplaw:alpha_84 redshift_16 redshift_median redshift_84 UVcolour_16 UVcolour_median UVcolour_84 VJcolour_16 VJcolour_median VJcolour_84 tmw_16 tmw_median tmw_84 sfr_16 sfr_median sfr_84 mstar_liv_16 mstar_liv_median mstar_liv_84 z_input global_log_evidence global_log_evidence_err min_chisq_reduced
4.490000000000000000e+02 2.680545881689820331e-01 3.794045670583304775e-01 6.664368424618662967e-01 3.613644279708941864e-01 9.570219295674838866e-01 1.472349278077496493e+00 5.514879710433685106e-02 2.467027543716697746e+00 1.677929455218039152e+02 6.791907135973869192e-01 1.213418728630613064e+00 1.728223541242356998e+00 9.571724825290676364e+00 9.960996160475611205e+00 1.010254995689625801e+01 2.478444192898106996e-02 1.387624603696369918e-01 1.070807573407434710e+00 3.640964325881718811e+00 3.934078114420831440e+00 4.206478279936160192e+00 5.529762848473929182e-01 6.821846344343285296e-01 7.663665035732130093e-01 4.094419363044372595e-01 5.626053589900976704e-01 6.801270992290154860e-01 6.206780016277472223e-01 9.084250987327098237e-01 1.486369931569374803e+00 5.505374813979583948e+00 7.830241396910251339e+00 1.642150950253240538e+01 2.792367815867971897e+09 5.855112293226469040e+09 7.887800347748513222e+09 0.000000000000000000e+00 -4.128009874764421170e+02 1.683817941715259892e-01 8.489841560475813731e-01
1.842000000000000000e+03 1.623400868384309303e+00 1.772699680537784594e+00 1.889978039849228963e+00 5.067289906955506851e+00 5.400921043535098498e+00 5.611847830981959717e+00 4.286046375912109596e+01 1.565780887509078525e+02 4.951928531587836346e+02 1.652657957857477378e+00 1.857246318608610336e+00 1.962568141467355476e+00 8.803383984828778708e+00 8.999820965948755358e+00 9.251052307494672888e+00 3.125641962855397332e-02 3.155782612013004473e-01 6.059810098719900395e+00 1.008763367545555623e+00 1.056280854018075477e+00 1.094983212706649889e+00 1.079241453925607885e+00 1.196771960484147357e+00 1.347415228192740955e+00 1.489426148067822808e+00 1.631460072487032065e+00 1.743837726632201157e+00 5.157250081419697096e+00 5.419765738732897020e+00 5.619207142597053561e+00 3.337895995944283101e+00 6.204708664295464082e+00 8.634677553134611827e+00 5.043974273738179207e+08 7.434308562060825825e+08 1.199730564549836159e+09 0.000000000000000000e+00 -2.198335493306529997e+02 1.993727323883477953e-01 7.169543451722354632e+00
2.127000000000000000e+03 9.417199375095683389e-02 1.953056723942395156e-01 2.941306916243967007e-01 5.078542516596112888e-01 9.551778357239163464e-01 1.273580178302377464e+00 6.653727393531264633e-01 6.646352441525571031e+00 1.131190258924258529e+02 3.996913718125501558e-01 1.105061347432358065e+00 1.691498062460009555e+00 9.493994212943988487e+00 9.686421443237225759e+00 9.863140807887534223e+00 3.036724029346675804e-02 1.306410954629874110e-01 7.152195522661405347e-01 3.961490337631869973e+00 4.098869531984068892e+00 4.190013895167767899e+00 3.491263756916562211e-01 4.330181309644629550e-01 5.283937801779607923e-01 9.106348758194883486e-02 2.941522217099219461e-01 4.050895579212199782e-01 7.801872390557800241e-01 1.080043688887756259e+00 1.282456424865927147e+00 4.741703292375030188e+00 6.385686190667275497e+00 8.693445329499468244e+00 2.249102475612638474e+09 3.277442208501942158e+09 4.649967891758988380e+09 0.000000000000000000e+00 6.138367608472383097e+01 1.807454287967626694e-01 1.953718634335796511e-01
2.428000000000000000e+03 1.543763562272688124e-03 5.806635399939799255e-03 1.450862031924709562e-02 4.808422722774614577e-01 1.434733621217258115e+00 3.155033893349481033e+00 4.350012081496113653e-02 1.318453048651925474e+00 8.420657224745575320e+01 1.741119834886914464e-01 1.850210024379214391e-01 1.970938486161946945e-01 1.052767667782539718e+01 1.059308054556799839e+01 1.062300476650707104e+01 1.681897973043927053e+01 1.028689502604298553e+02 4.672503964124888967e+02 4.978280152684396165e-01 5.054637018237840840e-01 5.172201659482967839e-01 1.698671642791135916e+00 1.726300856992182275e+00 1.748133082277469219e+00 7.204250245153929200e-01 7.377602906857809728e-01 7.512852820115830665e-01 3.912376522475122798e-01 5.005971540375098172e-01 2.130706825553145833e+00 0.000000000000000000e+00 7.627154602121471083e-68 6.347916284497677440e-10 1.544393908360134315e+10 1.737385079708576202e+10 1.855563419697871399e+10 0.000000000000000000e+00 1.701100738888928845e+02 2.353830566458536000e-01 1.652085962367278427e+01
3.019000000000000000e+03 2.485315454823625592e-01 4.836977987764128351e-01 7.329595608767425219e-01 2.444991473439876106e+00 2.655280595793940268e+00 2.876329324159171197e+00 3.167553307961041287e-01 1.854326088783574278e+01 3.002084959831283300e+02 1.217830233729907397e+00 1.655073256300349183e+00 1.906677364767943805e+00 1.057904481734626145e+01 1.062564441854646269e+01 1.072903490425149897e+01 5.876422028688433841e+01 2.001485819179972907e+02 5.827585889714398490e+02 1.999972815065758303e+00 2.061734329281336375e+00 2.130099357333019583e+00 1.577092421088401863e+00 1.621644645064488799e+00 1.668706590413000512e+00 8.192798116478066106e-01 8.944476773459975050e-01 9.835818723243155981e-01 1.566823667247301044e+00 2.403157086857943270e+00 2.620018975441569253e+00 1.257370612908184649e-32 1.670703747540096314e-10 1.026550980712452078e-02 2.375940664659315109e+10 2.619477117679454803e+10 3.063548556616067505e+10 0.000000000000000000e+00 -1.944812000983901044e+02 2.014184810550793125e-01 1.710449892710717901e+00
5.012000000000000000e+03 2.674823433281759422e-01 5.029053340138615047e-01 5.764077072414094394e-01 4.657924059549666929e+00 5.257640784749237461e+00 5.465717311203040829e+00 1.889359441055136912e+01 1.262918539809832481e+02 5.051259611767411002e+02 1.762236774014375174e+00 1.898084126158149365e+00 1.972387773939935363e+00 9.554038059967705721e+00 9.711448269901184815e+00 1.001391330824515435e+01 2.848934250370283722e-02 2.525081445436815897e-01 4.104684744281423825e+00 1.026238510181744612e+00 1.064914820077040192e+00 1.103121201389061445e+00 3.729930651709216227e-01 4.411444617042299399e-01 5.861394778632382785e-01 5.424757018892865101e-01 5.987954686891114875e-01 6.644790710880589257e-01 4.907656477891959135e+00 5.262610855437102053e+00 5.472532239694670508e+00 9.527002899742672781e+00 2.056902563565175868e+01 2.739204916707073778e+01 2.755657010290882587e+09 3.762826006915218353e+09 6.677712905758736610e+09 0.000000000000000000e+00 -6.751237034669336481e+02 2.136015182392453082e-01 8.125742456797080404e-01
5.088000000000000000e+03 7.657446270115784992e-02 1.420903335456150662e-01 2.409580893022932324e-01 1.421841172620445848e+00 3.268952512795618937e+00 4.990744663037361306e+00 1.339844693227829064e-01 7.963076038680402036e+00 2.039664634387796696e+02 4.140018505423662676e-01 6.096734702608260781e-01 8.662639722135011544e-01 9.144934506593980217e+00 9.295436012042360474e+00 9.394703084834047147e+00 1.959336208971308724e-02 8.337426200826768274e-02 4.889737579971772941e-01 7.776570510598433961e-01 8.189833368566299399e-01 8.784065328440628928e-01 7.045012421500977950e-01 7.350289070631603749e-01 7.616291702107539363e-01 3.871626764205942095e-01 4.475654499517300877e-01 5.123262115226836499e-01 3.102036414550686239e+00 4.155857702927734820e+00 5.255012193933119136e+00 3.382727588970332877e-01 4.291126571461434391e-01 5.931961647417829386e-01 8.333882944076592922e+08 1.089523815575007915e+09 1.315019368331375837e+09 0.000000000000000000e+00 5.151924727022709476e+02 1.952867597744050721e-01 7.227426816036723878e-01
6.131000000000000000e+03 3.074331222988908152e+00 3.213558204284658437e+00 3.358581060440600563e+00 3.123565304044796154e+00 3.273618145619359154e+00 3.454759366806182008e+00 1.200602466704293931e+02 2.876531539847506451e+02 6.562861700954072148e+02 1.059913585999257224e+00 1.375770243488896982e+00 1.717412441802650847e+00 1.025800821378526528e+01 1.038422066218360307e+01 1.054943028403310024e+01 4.209828686417804028e-02 8.184036280077735537e-01 2.701811694716238321e+01 1.839137289415078813e+00 1.946262111911613024e+00 2.026729372775112559e+00 1.694292868478207259e+00 1.767821924719640947e+00 1.858295897926826257e+00 2.630546653887485320e+00 2.720108018926783444e+00 2.812211842257436700e+00 3.141198833510129518e+00 3.278349354927552639e+00 3.455146900708162772e+00 3.361900324574191927e+02 4.432867404858902773e+02 5.992847316110714928e+02 1.549481689447233772e+10 1.997617759339216614e+10 2.771056940194110107e+10 0.000000000000000000e+00 2.665128692636343999e+02 2.115961916520481545e-01 1.818138703876035267e+00
6.401000000000000000e+03 8.248742865182444595e-01 1.010446283082420793e+00 1.242099119180788191e+00 4.473222114602950050e+00 5.250448940107346196e+00 5.595382547695107789e+00 2.038743175307018984e-01 3.185592303929182023e+00 1.036202475109804055e+02 8.509331375108956097e-01 1.405920367797333315e+00 1.808784871446934783e+00 1.061993066107786987e+01 1.070621937262927403e+01 1.083031922327438146e+01 1.830619033467306167e+01 4.523265696776577016e+01 3.592941137613090063e+02 9.248322231587668973e-01 9.702195955648931225e-01 1.007126071436652781e+00 1.964460195797266939e+00 2.008384647390311528e+00 2.060850390124715936e+00 1.369340308341344237e+00 1.436217683469072526e+00 1.521504693114085427e+00 2.727042218457004452e+00 4.222497385447953278e+00 4.783634575870182815e+00 9.366241817838478939e-07 3.236902190190811823e-01 8.335210289455298183e-01 2.457551239297424316e+10 2.901393245387796783e+10 3.605886925138220215e+10 0.000000000000000000e+00 4.931889714794996848e+02 2.101316006983240392e-01 6.767117042081696177e-01
7.885000000000000000e+03 5.866007982475768268e-01 7.274173657497631229e-01 8.701618198388128000e-01 7.176640887442944816e+00 7.513295829768946277e+00 7.731691042850556528e+00 1.241790918010849509e+01 8.881394280583546674e+01 4.368474725497941904e+02 1.085983053916072638e+00 1.598625528374319149e+00 1.874611778436411136e+00 9.940040085037397333e+00 9.991994909443967288e+00 1.009014170120951270e+01 8.854412419489079866e+01 2.372799014506680635e+02 6.120156558250971557e+02 4.708986424377712976e-01 4.931085919445957755e-01 5.407892962066388476e-01 1.917154651266216092e+00 1.978878553193329282e+00 2.042776405147307628e+00 1.186605812792718151e+00 1.265583011576776329e+00 1.323831245287239833e+00 6.865573308179949485e+00 7.349070024969897474e+00 7.586434977275176905e+00 4.608714172280475092e-27 4.310485698966035241e-10 8.641829780843871510e-04 5.148179715364745140e+09 5.823322103232195854e+09 7.212976519826021194e+09 0.000000000000000000e+00 4.873606200441778924e+02 2.130056338020997198e-01 5.685999786323618910e-01
