#ID      tauV_eff_mean   tauV_eff_median   tauV_eff_16    tauV_eff_84            tauV_eff_3     tauV_eff_97      mu_mean      mu_median   mu_16   mu_84     mu_3    mu_97    A1500_mean   A1500_median   A1500_16    A1500_84        A1500_3    A1500_97             
  10578   1.9895557       1.9867556          1.8020511  2.1800532        1.6154689  2.3710003        0.39999998   0.4          0.4  0.4     0.4  0.4    3.0691404    3.0431533       2.7730973  3.3726676        2.532422  3.7640655      
  15669   1.749881        1.7500142          1.6359892  1.8628148        1.5293535  1.9741997        0.40000004   0.4          0.4  0.4     0.4  0.4    4.8694873    4.871411        4.644441  5.101988          4.417661  5.3278766      
  1842    0.43457735      0.3478076          0.11840435  0.7036524       0.019152846  1.2453756      0.4          0.4          0.4  0.4     0.4  0.4    0.5317005    0.41858172      0.14535049  0.85820204      0.024778211  1.599602    
  18883   1.246617        0.7960541          0.30515498  2.6352408       0.07956802  3.9203744       0.4          0.4          0.4  0.4     0.4  0.4    3.1213887    2.6135144       0.7909449  5.365321         0.1840267  9.073088      
  19203   1.3821828       1.3847742          1.2832291  1.4812238        1.1727676  1.567371         0.4          0.4          0.4  0.4     0.4  0.4    6.32165      6.3340397       5.860941  6.7806597         5.3704314  7.161752      
  2127    0.81722504      0.73838776         0.32396936  1.36243         0.118329614  1.8322884      0.39999995   0.4          0.4  0.4     0.4  0.4    0.9925072    0.94235116      0.41514075  1.6023184       0.13377857  2.0809917    
  21662   4.543691        4.6263466          4.272482  4.862651          3.7291093  4.9815645        0.4          0.4          0.4  0.4     0.4  0.4    7.152576     7.2105904       5.663898  8.516178          4.957267  8.907813       
  22707   0.49042377      0.44636557         0.14071089  0.84055644      0.037422676  1.1476314      0.4          0.4          0.4  0.4     0.4  0.4    0.59206223   0.54219544      0.17323689  0.9920877       0.04698974  1.3673221    
  22959   2.6995544       2.678905           2.406087  2.98641           2.1660597  3.41522          0.39999998   0.4          0.4  0.4     0.4  0.4    6.142234     6.15395         5.6650825  6.6045027        5.162205  7.0478277      
  23482   1.3122884       1.2797345          1.1141229  1.4961462        0.9658998  1.8918103        0.4          0.4          0.4  0.4     0.4  0.4    1.4432218    1.4042042       1.2247113  1.6464459        1.086119  2.0660899      
  23720   1.6954681       1.7687165          1.3479825  2.0456927        0.7194186  2.2903388        0.39999998   0.4          0.4  0.4     0.4  0.4    1.9031979    1.9848661       1.545265  2.2606368         0.8995585  2.5312574     
  23751   3.5749867       3.6435277          2.7010539  4.4418597        1.9824172  4.8611364        0.40000004   0.4          0.4  0.4     0.4  0.4    4.2629614    4.2243834       3.2013054  5.0940914        2.447912  6.90224        
  2428    0.07485707      0.051678825        0.013958503  0.12104986     0.0018316543  0.32294127    0.39999998   0.4          0.4  0.4     0.4  0.4    0.09533308   0.06486641      0.018415231  0.15165588     0.002400724  0.4044559   
  24572   1.3506112       1.5516686          0.31667662  1.8891282       0.17467186  2.1375868       0.39999998   0.4          0.4  0.4     0.4  0.4    1.6510682    1.7399938       1.1458883  2.0752654        0.6464722  2.3487222     
  25835   0.85748297      0.8911388          0.46109393  1.1956471       0.16052862  1.5259026       0.4          0.4          0.4  0.4     0.4  0.4    1.031491     1.0626422       0.56852394  1.4276222       0.20579056  1.8878602    
  26600   3.117473        3.185833           2.6431549  3.6225357        1.9349265  3.9139767        0.4          0.4          0.4  0.4     0.4  0.4    3.4080749    3.473239        2.9140484  3.9181685        2.2206492  4.2265525     
  3019    0.9352451       0.8495574          0.44942346  1.3782569       0.1540317  2.3909347        0.39999995   0.4          0.4  0.4     0.4  0.4    1.5681645    1.2642004       0.71296567  2.3389914       0.31009978  5.252707     
  449     1.298508        1.2814432          0.7418739  1.8314656        0.39479864  2.3324802       0.4          0.4          0.4  0.4     0.4  0.4    1.9094497    1.9189837       1.2166176  2.5998201        0.6578732  3.1587946     
  5012    1.2592618       1.2490911          1.0892972  1.414269         0.94826245  1.6640167       0.40000004   0.4          0.4  0.4     0.4  0.4    2.0257654    2.0269146       1.8984423  2.1508505        1.7458048  2.3022354     
  5088    0.8465454       0.8470785          0.8097609  0.88293564       0.7689406  0.920264         0.39999998   0.4          0.4  0.4     0.4  0.4    2.8032415    2.804784        2.7364435  2.8696961        2.6595762  2.9282112     
  6131    2.5563834       2.5634947          2.3858259  2.7255654        2.220591  2.8787053         0.39999998   0.4          0.4  0.4     0.4  0.4    6.720414     6.9876966       6.4335456  7.2849517        2.5809777  7.5055294     
  6401    3.1637013       3.1485431          2.8577244  3.4767396        2.5319963  3.9007368        0.40000007   0.4          0.4  0.4     0.4  0.4    4.0898366    3.8100815       3.2992396  5.141188         2.8988156  6.2146273     
  7885    2.006592        2.0231981          1.560817  2.430345          1.2684292  2.7254107        0.4          0.4          0.4  0.4     0.4  0.4    4.2728434    3.6260967       2.4548082  6.665366         1.9157207  7.96856       
