#ID     M_tot_mean     M_tot_median   M_tot_16	M_tot_84	      M_tot_3     M_tot_97		      M_star_mean    M_star_median  M_star_16	M_star_84	     M_star_3	M_star_97	      mass_w_age_mean   mass_w_age_median   mass_w_age_16    mass_w_age_84		   mass_w_age_3	    mass_w_age_97	  mass_w_Z_mean   mass_w_Z_median   mass_w_Z_16	    mass_w_Z_84	   mass_w_Z_3   mass_w_Z_97		  N_ion_mean   N_ion_median   N_ion_16    N_ion_84	       N_ion_3    N_ion_97	        xi_ion_mean   xi_ion_median   xi_ion_16	    xi_ion_84       xi_ion_3     xi_ion_97	        xi_ion_unatt_mean   xi_ion_unatt_median   xi_ion_unatt_16     xi_ion_unatt_84	   xi_ion_unatt_3     xi_ion_unatt_97	    xi_ion_unatt_stellar_mean   xi_ion_unatt_stellar_median   xi_ion_unatt_stellar_16     xi_ion_unatt_stellar_84   xi_ion_unatt_stellar_3     xi_ion_unatt_stellar_97   UV_slope_mean   UV_slope_median   UV_slope_16    UV_slope_84	       UV_slope_3    UV_slope_97		  
 10578  1.33669667E11  1.32616782E11   1.17296431E11   1.49327921E11    1.051044E11   1.68616264E11     9.8386665E10   9.7570849E10    8.6997713E10   1.09064929E11      7.9014543E10   1.22769973E11     2.31113248E8      2.2991376E8	     1.9837008E8   2.6429896E8       1.561908E8   3.06259424E8 	  0.0095653655    0.009579519	     0.00809781   0.010842624 	    0.006499491   0.013029631 	  56.31226     56.311504       56.237507   56.38941      56.154278   56.468655    27.485128     27.483654        27.410099   27.561802     27.327461   27.640028    26.257471	    26.264761		   26.190508   26.324127     26.10573   26.373884     25.49636		        25.496748		       25.486727   25.506163 	    25.473991   25.516562        0.16149665      0.16170308	   0.11201031   0.21081962       0.05473745   0.25622317    
 15669  1.09238897E10  1.06281421E10   9.3654528E9   1.24274944E10      8.3615764E9   1.5347326E10      9.683755E9     9.540396E9      8.4695782E9   1.08140954E10       7.6052992E9   1.27591578E10      8.4626688E7       6.4512144E7	     1.6964358E7   1.54776064E8      6794409.5   2.6342776E8 	  0.0168864	  0.016659867	     0.014654994   0.019219682       0.013287594   0.021527171 	  56.243084    56.24201        56.189278   56.295734     56.14276   56.34422      28.538406     28.539438        28.483711   28.59145      28.435663   28.643877    26.590612	    26.590658		   26.535069   26.64641      26.481194   26.701416    25.493797		        25.493881		       25.481089   25.508793 	    25.46971   25.51401          0.18315499      0.18223256	   0.07447304   0.29816744       -0.0794265   0.42244524    
 1842   7.46375E10     7.4526581E10    6.4207688E10   8.5010727E10      5.2349284E10   9.7910415E10     5.0065461E10   4.9841885E10    4.339737E10   5.6577921E10        3.6393042E10   6.5696031E10      5.08780288E8      4.99173024E8	     4.102216E8   6.0885376E8 	    2.90500928E8   6.9255622E8     2.1007429E-4    1.698681E-4	     1.1579661E-4   2.9195714E-4     1.02088656E-4   5.379862E-4    53.215702    53.15265        52.330772   54.044586     51.809303   54.837753    24.19134      24.128832        23.315372   25.030025     22.780424   25.805622    23.978659	    23.920134		   23.187487   24.818155     22.668924   25.289703    23.985744		        23.92141		       23.187584   24.834728 	    22.668945   25.328905        -0.5818936      -0.58967274	   -0.7686447   -0.3874674       -0.9340957   -0.17884585   
 18883  1.09312532E11  8.0694534E10    6.9049074E10   1.89552787E11     6.2191149E10   2.49287868E11    7.0183576E10   5.0864898E10    4.3498303E10   1.23463123E11      3.9202103E10   1.63981885E11     1.54179597E9      1.68460902E9	     1.28352563E9   1.69878618E9     7.8067514E8   1.69992883E9     0.011820362	  0.01067429	     0.008691455   0.014864437       0.005556583   0.023550995 	  53.446976    53.355816       52.20297   54.679302      51.970474   55.600254    26.94452      26.708424        25.97792   27.97569       25.667715   29.534927    25.695965	    25.646137		   25.501362   26.053804     24.528404   26.57439     25.477013		        25.528812		       25.487606   25.57215 	    24.50075   25.699461         4.236704        4.1973543	   1.4558492   6.7672467         -0.092165686   10.175496   
 19203  3.40014157E9   3.49526835E9    2.8168681E9   3.88841702E9       2.15754445E9   4.24791322E9     1.94007117E9   1.99148595E9    1.63250253E9   2.1953559E9        1.27999462E9   2.3898217E9       5.0615562E9       5.1912929E9	     3.95032806E9   6.0424868E9      2.86045158E9   6.8728417E9     0.0010131872    9.975506E-4	     8.7005115E-4   0.0011520613     7.330635E-4   0.0013874543     53.681538    53.688534       53.604446   53.761284     53.490093   53.82117     28.144985     28.150206        27.982794   28.31725      27.781366   28.4689      25.616325	    25.616272		   25.58195   25.647635      25.559967   25.682627    25.604712		        25.60397		       25.597488   25.612041 	    25.590574   25.622034        3.7698777       3.7795022	   3.3382835   4.231686          2.8567836   4.6659775 	  
 2127   3.78683955E9   3.39793946E9    2.15776E9   5.2149857E9          1.29283904E9   8.8423711E9      2.83407514E9   2.57878502E9    1.70268646E9   3.8492119E9        1.05313011E9   6.2700022E9       1.61981792E8      1.37974592E8	     6.9094688E7   2.64663248E8      2.9881036E7   3.98733152E8     0.0061232382    0.0041212738       6.874709E-4   0.012278149       1.6586726E-4   0.022183742     53.268265    53.36072        52.352253   54.105255     51.890553   54.632164    24.638168     24.725698        23.721361   25.466526     23.253935   26.014973    24.241161	    24.266214		   23.446594   25.049177     23.080418   25.417702    24.234428		        24.265032		       23.446602   25.033348 	    23.080397   25.400013        -1.7772956      -1.7835026	   -1.9182309   -1.6446954       -2.034368   -1.4603211     
 21662  2.69180748E11  2.7028557E11    2.14917808E11   3.25328994E11    1.61842708E11   3.71602227E11   1.77157898E11  1.77943429E11   1.432296E11   2.11359875E11       1.10492893E11   2.40364831E11    1.28168358E9      1.31285325E9	     1.03907392E9   1.5035465E9      7.654409E8   1.68674534E9 	  0.016471501	  0.01611664	     0.012869363   0.02022197 	    0.010439336   0.024177404 	  56.02848     56.093307       55.745464   56.28808      55.42114   56.391644     28.68719      28.728863        28.434755   28.928738     28.137655   29.069107    25.826159	    25.894342		   25.470118   26.15093      25.434107   26.332977    25.463852		        25.472225		       25.44484   25.493893 	    25.39991   25.508038         1.3252116       1.3131335	   1.140574   1.449957           0.9554019   1.6131834 	  
 22707  4.24098048E9   3.82667187E9    2.37419622E9   6.1025208E9       1.35944269E9   9.3183508E9      3.20681344E9   2.93036237E9    1.90235686E9   4.5166136E9        1.12702093E9   6.7296947E9       1.27191872E8      1.13042248E8	     5.71516E7   2.03906416E8 	    2.671695E7   2.889848E8 	  0.0038944161    0.002357279	     4.7972874E-4   0.0072312374     1.6028948E-4   0.016780084     53.36245     53.404854       52.622177   54.02657      52.27075   54.651882     24.426397     24.455868        23.681923   25.090528     23.327847   25.726154    24.18957	    24.198689		   23.54609   24.831444      23.238453   25.290876    24.188713		        24.198189		       23.54602   24.833303 	    23.238459   25.281528        -2.1020806      -2.1055977	   -2.2188315   -1.9912602       -2.330709   -1.8308077     
 22959  9.2550881E9    8.2567301E9     5.3758039E9   1.30772111E10      3.91205274E9   1.96248883E10    7.0900813E9    6.4709228E9     4.4773673E9   9.6530401E9         3.41800192E9   1.39889377E10     3.18776864E8      2.61138544E8	     1.11884672E8   5.5732582E8      4.1113824E7   8.1492602E8 	  0.017368654	  0.017469898	     0.014408693   0.020184377       0.012010642   0.022263326 	  55.706955    55.70919        55.645325   55.770416     55.570354   55.834877    28.251148     28.240189        28.136936   28.358368     28.039906   28.528994    25.794252	    25.802477		   25.656427   25.924301     25.550829   26.036446    25.481201		        25.479685		       25.465454   25.499361 	    25.450726   25.511524        0.035143003     0.010656279	   -0.117810614   0.17178571     -0.23674121   0.46833867   
 23482  6.1158533E9    6.1102659E9     5.603113E9   6.6315745E9         5.127977E9   7.1788314E9        4.756137E9     4.7513073E9     4.4152243E9   5.0940754E9         4.0851671E9   5.4710518E9        1.03872216E8      1.034332E8	     7.7731016E7   1.28208992E8      5.5004652E7   1.58301056E8     0.018003847	  0.018691363	     0.01284368   0.02373137 	    0.0036835088   0.026099633     52.883015    52.723495       52.247826   53.615818     52.06519   54.30215      24.200798     24.046532        23.561747   24.930902     23.380806   25.620802    23.623508	    23.44358		   23.019354   24.343884     22.892   24.980932       23.616915		        23.442793		       23.019175   24.337395 	    22.891996   24.9411          -1.3708646      -1.3753816	   -1.427975   -1.3157202        -1.4753582   -1.2389599    
