# ID      sSFR_mean    sSFR_median   sSFR_16  sSFR_84               sSFR_3   sSFR_97                SFR_10_mean    SFR_10_median   SFR_10_16   SFR_10_84                SFR_10_3   SFR_10_97                SFR_100_mean   SFR_100_median   SFR_100_16    SFR_100_84              SFR_100_3      SFR_100_97           max_stellar_age_mean   max_stellar_age_median   max_stellar_age_16  max_stellar_age_84        max_stellar_age_3  max_stellar_age_97       
  10578   -8.182239    -8.180269      -8.288244  -8.078317       -8.410152  -7.951386      887.0135       869.18274        733.5673  1041.4336          608.9768  1252.6249         116.73655      114.11145         94.965294  138.58891           80.70223  166.1709           3.40199328E8           3.40741504E8              2.82527136E8  3.95415808E8     2.21930064E8  4.60807328E8   
  15669   -7.132098    -7.1253295     -7.200085  -7.0601754      -7.2862115  -7.025958     802.46185      793.6734         703.7012  900.59125          631.9062  1016.08936        85.28563       84.36418          74.512825  96.19875            66.620285  108.12511         8.2875949E8            8.1425024E8               2.76658304E8  1.39771226E9     8.5075464E7  1.72473997E9    
  1842    -11.508161   -11.330776     -12.883046  -10.318389     -14.107612  -9.523837     2.7213547      0.3435337        0.009966874  3.476097        5.74965E-4  21.476736       5.1156235      0.4731922         0.02675868  3.634261           7.650337E-4  11.177825       6.2101331E8            6.2086701E8               4.74738944E8  7.7818138E8      3.56625152E8  8.7049984E8    
  18883   -11.136357   -10.992471     -12.691531  -9.667371      -14.034011  -8.8780985    19.744799      0.9400523        0.021369582  20.64558        8.553541E-4  169.05763      2.454          0.124130264       0.0028677217  2.672597         9.559319E-5  22.427553       1.64213235E9           1.74071872E9              1.50268493E9  1.78277619E9     8.8174656E8  1.79919475E9    
  19203   -9.294039    -9.298772      -9.401256  -9.190021       -9.525405  -9.043787      1.7372757      1.7352866        1.428527  2.0462592          1.0989848  2.3700454        0.1737293      0.17352867        0.14285271  0.20462592         0.109898485  0.23700455      5.3354358E9            5.4659082E9               4.13757261E9  6.3638349E9      3.07694746E9  7.2874209E9    
  2127    -10.209937   -10.120551     -11.597038  -8.829735      -13.009739  -8.093093     2.3427548      0.27008358       0.009332349  4.785611        4.166195E-4  15.441696      14.638881      13.354848         9.149595  20.064276            6.3328695  28.93018          4.56538656E8           3.86122368E8              1.81946672E8  7.6822323E8      7.0304896E7  1.13862566E9    
  21662   -8.73576     -8.690182      -9.056697  -8.411308       -9.42221  -8.207781       573.172        565.29224        253.87645  874.6437          118.529015  1123.4521       94.28286       95.84118          57.92522  129.67906            34.411865  156.7764          2.2951529E9            2.35531034E9              1.89243712E9  2.68378112E9     1.38878272E9  2.87914675E9   
  22707   -10.350265   -10.292933     -11.709604  -8.986325      -13.074335  -8.180526     2.04406        0.21781799       0.0075320364  3.531612       3.3455662E-4  16.403048     18.864948      18.346786         14.483087  23.595957           10.810876  29.695751         3.52765216E8           3.12534176E8              1.49602368E8  5.8195418E8      5.6779296E7  8.0736973E8     
  22959   -7.557841    -7.547087      -7.768779  -7.3339195      -7.99361  -7.1783743      236.03796      234.59595        202.04599  269.68295         171.22438  311.15714        31.618855      31.35394          26.856974  36.626854           22.384768  41.849125         1.25966093E9           1.11315533E9              5.5861011E8  2.0817897E9       2.51318624E8  2.79672934E9   
  23482   -10.784379   -10.69706      -12.085392  -9.530054      -13.264808  -8.781538     1.0930926      0.12042984       0.0050082696  1.768277       3.3547526E-4  9.2758255     34.11996       33.179718         29.046572  39.28353            25.306578  48.852036         2.93855488E8           2.9199664E8               2.12837328E8  3.69618112E8     1.4111528E8  4.6637536E8     
