# FITSED v2.0 output
#
#     id    z    tau  tau_l68  tau_h68  metal  met_l68  met_h68 lg_age lg_a_l68 lg_a_h68   ebv ebv_l68 ebv_h68 delta del_l68 del_h68 lg_mass lg_mass_l68 lg_mass_h68 lg_salmon_sfr lg_salmon_sfr_hi68 lg_salmon_sfr_lo68 lg_sfr lg_sfr_l68 lg_sfr_h68
       1  0.530  49.414  14.637  83.949   0.0007   0.0000   0.0034    8.90    8.57    9.20   0.71   0.61   0.76    0.00    0.00    0.00    10.51    10.45    10.62     2.472     2.697     2.115     2.800     2.675     2.872
       3  0.294  50.016  16.370  84.140   0.0057   0.0000   0.0122    9.46    9.10    9.77   0.31   0.25   0.38    0.00    0.00    0.00     9.02     8.97     9.12     0.118     0.402    -0.110     0.102    -0.143     0.313
       4  0.648  51.406  17.936  84.581   0.0093   0.0042   0.0166    9.42    8.91    9.74   0.42   0.36   0.51    0.00    0.00    0.00     8.86     8.62     9.04     0.158     0.561    -0.064     1.334     0.767     1.613
       6  0.253  51.805  18.424  84.708   0.0131   0.0084   0.0178    9.08    8.37    9.25   0.25   0.21   0.37    0.00    0.00    0.00     7.30     7.26     7.99    -0.623    -0.106    -0.744     0.047    -0.032     0.106
       7  0.709  48.331  14.344  83.605   0.0140   0.0099   0.0181    8.96    8.79    9.09   0.41   0.38   0.44    0.00    0.00    0.00     9.89     9.81     9.94     1.321     1.436     1.205     1.158     1.014     1.258
       9  0.947 -99.000   0.000 100.000 -99.0000   0.0000   0.0200  -99.00    7.00   10.00 -99.00   0.00   0.97    0.00    0.00    0.00   -99.00   -99.00    10.04      -NaN     3.032    -0.628   -99.000   -99.000     1.937
      10  1.005  49.365  15.188  83.933   0.0140   0.0099   0.0181    7.76    7.65    7.88   0.30   0.28   0.32    0.00    0.00    0.00     8.52     8.51     8.59     1.039     1.106     0.985     0.896     0.866     0.922
      11  1.107  50.699  16.990  84.357   0.0140   0.0099   0.0181    7.77    7.56    8.14   0.61   0.58   0.64    0.00    0.00    0.00     8.97     8.90     9.08     1.715     1.776     1.618     1.388     1.305     1.449
      12  0.555  49.636  15.460  84.019   0.0058   0.0005   0.0131    9.13    8.89    9.40   0.30   0.24   0.35    0.00    0.00    0.00     8.86     8.79     8.91     0.012     0.198    -0.228     1.178     0.921     1.297
      13  0.626  46.529  10.816  83.034   0.0048   0.0000   0.0077    9.34    9.07    9.64   0.40   0.34   0.46    0.00    0.00    0.00     8.81     8.74     8.92     0.058     0.317    -0.175     0.886    -0.263     1.200
      14  0.758  51.561  18.034  84.630   0.0140   0.0099   0.0181    8.79    8.29    9.25   0.30   0.23   0.37    0.00    0.00    0.00     8.71     8.47     8.88     0.306     0.553     0.026     0.624     0.408     0.721
      19  1.050  52.130  19.123  84.811   0.0140   0.0099   0.0181    9.61    9.32    9.73   0.14   0.11   0.19    0.00    0.00    0.00     8.29     8.13     8.96    -0.554    -0.347    -0.688     0.592     0.510     0.674
      20  0.322  45.469  10.939  82.697   0.0132   0.0085   0.0178    9.24    9.06    9.43   0.08   0.04   0.12    0.00    0.00    0.00     8.57     8.53     8.60    -0.531    -0.383    -0.695    -0.456    -0.621    -0.331
      21  1.084  52.642  19.628  84.973   0.0140   0.0099   0.0181    9.44    9.01    9.67   0.35   0.31   0.42    0.00    0.00    0.00     9.67     9.48     9.85     0.453     0.750     0.302     1.027     0.783     1.201
      22  0.963  50.383  16.542  84.256   0.0140   0.0099   0.0181    8.49    8.30    8.75   0.21   0.18   0.24    0.00    0.00    0.00     9.04     8.96     9.12     0.703     0.808     0.576     0.773     0.687     0.886
      23  1.045  51.031  17.260  84.462   0.0140   0.0099   0.0181    7.89    7.70    8.56   0.47   0.40   0.50    0.00    0.00    0.00     8.55     8.45     8.65     1.156     1.199     0.902     0.859     0.770     0.921
      24  1.280  51.466  18.746  84.600   0.0140   0.0099   0.0181    9.58    9.46    9.66   0.04   0.02   0.07    0.00    0.00    0.00     8.64     8.51     9.30    -0.165    -0.046    -0.271     0.787     0.725     0.862
      25  1.098  49.421  15.237  83.951   0.0140   0.0099   0.0181    7.76    7.65    7.87   0.36   0.33   0.37    0.00    0.00    0.00     8.92     8.87     8.95     1.396     1.457     1.330     1.260     1.233     1.301
      27  0.626  51.254  17.617  84.533   0.0118   0.0063   0.0174    9.22    9.06    9.36   0.17   0.14   0.21    0.00    0.00    0.00     8.88     8.82     8.90    -0.093     0.062    -0.236    -0.102    -0.218     0.109
      29  1.125  50.808  17.009  84.391   0.0140   0.0099   0.0181    7.82    7.67    9.60   0.31   0.11   0.34    0.00    0.00    0.00     8.48     8.41     8.55     0.857     0.827     0.047     0.839     0.786     0.867
      35  0.375   1.003   0.000   2.371   0.0129   0.0081   0.0178    9.89    9.82    9.97   0.06   0.01   0.13    0.00    0.00    0.00     8.74     8.69     8.78    -2.550    -1.982    -7.745    -2.785    -3.413    -2.719
      36  0.764  49.592  15.463  84.006   0.0139   0.0098   0.0181    8.96    8.76    9.18   0.21   0.17   0.25    0.00    0.00    0.00     8.94     8.86     8.98     0.175     0.309     0.021     0.242     0.127     0.350
      38  1.030  50.754  16.981  84.374   0.0140   0.0099   0.0181    8.00    7.73    8.48   0.35   0.30   0.37    0.00    0.00    0.00     8.60     8.47     8.75     0.819     0.875     0.675     0.877     0.782     0.932
      40  1.056  51.143  17.575  84.498   0.0140   0.0099   0.0181    8.62    8.40    8.88   0.32   0.28   0.35    0.00    0.00    0.00    10.02     9.96    10.10     1.622     1.717     1.474     1.736     1.631     1.774
      41  0.596  52.030  18.791  84.779   0.0128   0.0078   0.0177    9.39    8.98    9.71   0.07   0.02   0.16    0.00    0.00    0.00     8.15     8.06     8.26    -0.933    -0.595    -1.164    -0.537    -0.860    -0.262
      44  1.499  50.811  17.101  84.392   0.0140   0.0099   0.0181    8.69    8.42    8.97   0.13   0.09   0.16    0.00    0.00    0.00     9.16     9.08     9.25     0.584     0.714     0.449     0.820     0.692     0.926
      45  0.427 -99.000   0.000 100.000 -99.0000   0.0000   0.0200  -99.00    7.00   10.00 -99.00   0.00   0.97    0.00    0.00    0.00   -99.00   -99.00     9.29      -NaN     1.006    -2.654   -99.000   -99.000     1.264
      46  1.276  50.896  17.219  84.419   0.0129   0.0081   0.0178    7.99    7.50    8.49   0.01  -0.04   0.05    0.00    0.00    0.00     7.27     7.11     7.56    -0.590    -0.469    -0.698     0.023    -0.199     0.136
      47  0.915 -99.000   0.000 100.000 -99.0000   0.0000   0.0200  -99.00    7.00   10.00 -99.00   0.00   0.97    0.00    0.00    0.00   -99.00   -99.00     8.99      -NaN     3.210    -0.449   -99.000   -99.000     1.295
      48  0.381  46.161  10.764  82.917   0.0070   0.0000   0.0157    9.75    9.37    9.90   0.47   0.34   0.61    0.00    0.00    0.00     7.92     7.69     8.09      -NaN      -NaN      -NaN    -0.118    -0.467     0.014
      50  1.075  54.363  22.265  85.519   0.0140   0.0099   0.0181    9.66    9.55    9.76   0.19   0.16   0.21    0.00    0.00    0.00     9.37     9.28     9.41    -0.080     0.033    -0.186     0.836    -0.059     0.945
      51  0.822  50.055  16.400  84.152   0.0013   0.0000   0.0053    9.32    8.81    9.70   0.48   0.43   0.57    0.00    0.00    0.00    10.11     9.85    10.19     1.206     1.560     0.987     1.932     1.740     2.117
      53  0.651   4.082   0.000  45.975   0.0048   0.0000   0.0108    9.69    9.51    9.82   0.34   0.22   0.42    0.00    0.00    0.00    10.16    10.05    10.23     0.529     0.893    -1.651     2.079     0.311     2.295
      57  0.619  43.309   9.104  82.012   0.0132   0.0086   0.0179    9.20    9.01    9.41   0.27   0.23   0.30    0.00    0.00    0.00     9.63     9.60     9.66     0.689     0.821     0.540     0.643     0.433     0.759
      58  1.097  50.570  16.782  84.316   0.0140   0.0099   0.0181    8.58    8.42    8.77   0.31   0.29   0.34    0.00    0.00    0.00     9.90     9.83     9.98     1.448     1.547     1.349     1.537     1.431     1.641
      59  0.917  51.999  18.679  84.769   0.0135   0.0090   0.0179    9.12    8.50    9.55   0.08   0.01   0.17    0.00    0.00    0.00     8.15     7.93     8.39    -0.590    -0.214    -0.845     0.099    -0.141     0.251
      61  0.073  51.291  17.635  84.545   0.0140   0.0099   0.0181    8.26    7.85    9.04   0.48   0.37   0.52    0.00    0.00    0.00     6.19     6.03     6.36    -1.322    -1.197    -1.714    -1.614    -1.748    -1.532
      62  0.124   1.001   0.000   2.368   0.0027   0.0000   0.0067    9.94    9.87    9.98   0.03  -0.01   0.17    0.00    0.00    0.00     7.87     7.73     7.87    -3.337    -2.358    -9.697    -4.396    -5.075    -3.631
      64  0.823  51.165  17.346  84.505   0.0139   0.0098   0.0181    9.08    8.78    9.37   0.12   0.06   0.16    0.00    0.00    0.00     9.26     9.14     9.35     0.350     0.544     0.148     0.606     0.417     0.729
      65  0.559  50.358  16.373  84.249   0.0071   0.0019   0.0155    9.27    9.01    9.59   0.13   0.07   0.19    0.00    0.00    0.00     8.29     8.23     8.35    -0.729    -0.475    -0.981     0.125    -0.658     0.572
      66  1.181  49.647  15.589  84.023   0.0100   0.0048   0.0168    8.90    8.67    9.09   0.09   0.06   0.12    0.00    0.00    0.00     9.06     8.98     9.13     0.282     0.413     0.151     0.495     0.329     0.621
      70  1.451  51.331  17.785  84.557   0.0076   0.0006   0.0160    8.85    8.20    9.35   0.16   0.09   0.23    0.00    0.00    0.00     8.48     8.19     8.76    -0.071     0.225    -0.292     0.496     0.282     0.647
      72  1.355  50.265  15.954  84.219   0.0008   0.0000   0.0035    9.11    8.68    9.37   0.14   0.08   0.19    0.00    0.00    0.00     9.50     8.88     9.56     0.697     0.930     0.499     1.094     0.683     1.209
      75  0.520  52.271  19.105  84.856   0.0108   0.0047   0.0171    9.49    9.03    9.81   0.07   0.01   0.16    0.00    0.00    0.00     7.88     7.71     8.00    -1.370    -0.977    -1.622    -0.406    -0.943     0.161
      76  1.142  55.378  23.367  85.841   0.0140   0.0099   0.0181    9.38    8.94    9.60   0.39   0.36   0.46    0.00    0.00    0.00    10.69    10.50    10.84     1.683     1.961     1.555     2.197     2.020     2.235
      78  0.909  51.144  17.523  84.498   0.0140   0.0098   0.0181    8.57    8.21    9.00   0.16   0.10   0.21    0.00    0.00    0.00     8.34     8.21     8.48    -0.011     0.157    -0.237     0.259     0.090     0.435
      79  1.012  50.195  17.201  84.197   0.0140   0.0099   0.0181    9.05    8.82    9.20   0.46   0.43   0.50    0.00    0.00    0.00    10.74    10.70    10.83     2.035     2.178     1.900     2.000     1.887     2.158
      80  1.110  51.054  17.991  84.470   0.0113   0.0058   0.0173    9.16    8.82    9.45   0.34   0.29   0.40    0.00    0.00    0.00    10.18     9.99    10.22     1.307     1.557     1.115     1.581     1.360     1.776
      82  0.809  51.447  18.036  84.594   0.0121   0.0061   0.0175    9.51    9.03    9.76   0.15   0.10   0.23    0.00    0.00    0.00     8.47     8.23     8.66    -0.578    -0.239    -0.757     0.204    -0.200     0.492
      83  0.502  45.626  10.487  82.747   0.0017   0.0000   0.0061    9.61    9.16    9.87   0.16   0.08   0.26    0.00    0.00    0.00     8.08     7.99     8.17    -1.550    -1.127    -1.861    -0.789    -1.810    -0.211
      84  0.604  51.486  17.947  84.606   0.0080   0.0038   0.0162    9.23    8.87    9.58   0.18   0.11   0.26    0.00    0.00    0.00     8.20     8.07     8.28    -0.607    -0.302    -0.889     0.386    -0.500     0.597
      85  0.589  51.318  17.781  84.553   0.0101   0.0046   0.0169    9.38    9.02    9.69   0.13   0.07   0.20    0.00    0.00    0.00     8.24     8.13     8.34    -0.977    -0.670    -1.204    -0.570    -0.860    -0.292
      86  0.193   1.644   0.000   7.040   0.0048   0.0000   0.0120    9.88    9.74    9.97   0.02  -0.04   0.23    0.00    0.00    0.00     7.82     7.72     7.93    -2.967    -1.838    -6.918    -3.190    -3.679    -0.407
      90  0.823  53.726  20.940  85.317   0.0140   0.0099   0.0181    9.32    8.63    9.65   0.14   0.09   0.25    0.00    0.00    0.00     8.94     8.80     9.18     0.086     0.529    -0.096     0.616     0.497     0.813
      95  0.179  51.947  18.817  84.753   0.0074   0.0027   0.0157    9.68    9.35    9.90   0.07   0.03   0.13    0.00    0.00    0.00     7.68     7.58     7.79    -1.626    -1.379    -1.809    -1.499    -1.818    -1.134
      98  0.459  44.293  12.602  82.324   0.0139   0.0098   0.0181    9.85    9.71    9.95   0.15   0.12   0.18    0.00    0.00    0.00     8.83     8.73     8.89    -0.680    -0.543    -0.833    -0.836    -1.000    -0.630
