# ID_0    tau_v16_0   tau_v50_0   tau_v84_0   sSFR16_0   sSFR50_0   sSFR84_0   Mstar16_0   Mstar50_0   Mstar84_0   Ldust16_0   Ldust50_0   Ldust84_0   Mdust16_0   Mdust50_0   Mdust84_0   SFR16_0   SFR50_0   SFR84_0   age_M16_0   age_M50_0   age_M84_0   A_V16_0   A_V50_0   A_V84_0   Tdust16_0   Tdust50_0   Tdust84_0   tau_v16_agn   tau_v50_agn   tau_v84_agn   sSFR16_agn   sSFR50_agn   sSFR84_agn   Mstar16_agn   Mstar50_agn   Mstar84_agn   Ldust16_agn   Ldust50_agn   Ldust84_agn   Mdust16_agn   Mdust50_agn   Mdust84_agn   SFR16_agn   SFR50_agn   SFR84_agn   age_M16_agn   age_M50_agn   age_M84_agn   A_V16_agn   A_V50_agn   A_V84_agn   Tdust16_agn   Tdust50_agn   Tdust84_agn   agnf16_agn   agnf50_agn   agnf84_agn   Ldustsf16_agn   Ldustsf50_agn   Ldustsf84_agn   Ldustagn16_agn   Ldustagn50_agn   Ldustagn84_agn  
  21      1.338       2.613       3.813       -9.475     -9.475     -9.325     9.807       9.827       9.867       10.39       10.42       10.53       6.127       6.607       7.162       0.332     0.367     0.482     9.102       9.147       9.222       0.838     0.863     1.013     33.85       42.05       52.25       1.088         2.213         3.888         -9.975       -9.525       -9.325       9.762         9.852         9.917         10.02         10.35         10.57         6.002         6.457         7.057         -0.103      0.267       0.487       9.027         9.232         9.342         0.413       0.788       1.088       33.75         41.85         51.75         0.007        0.03         0.111        9.942           10.34           10.56           8.222            8.802            9.207           
  25      3.063       5.963       5.963       -8.475     -8.475     -8.475     9.262       9.472       9.472       11.09       11.15       11.16       6.437       6.827       7.342       0.807     0.997     1.002     8.707       9.247       9.247       1.263     1.438     1.438     41.15       47.75       60.95       0.013         0.038         0.063         -10.22       -9.975       -9.625       9.572         9.727         9.957         9.052         9.207         9.392         6.002         6.002         6.002         -0.263      -0.218      -0.068      9.177         9.332         9.617         0.013       0.013       0.038       37.25         49.35         63.05         0.308        0.546        0.745        8.462           8.837           9.197           8.732            8.927            9.052           
  40      3.988       3.988       3.988       -8.625     -8.625     -8.575     10.14       10.25       10.25       11.58       11.8        11.8        7.262       7.767       8.282       1.587     1.622     1.622     8.672       8.912       8.912       1.038     1.338     1.338     35.95       46.35       58.85       0.688         1.388         2.788         -9.525       -9.175       -8.875       10.19         10.27         10.38         10.85         11.1          11.35         6.527         7.112         7.692         0.877       1.107       1.352       8.767         9.012         9.222         0.263       0.488       0.838       35.15         45.15         57.45         0.026        0.077        0.192        10.77           11.05           11.33           9.657            9.947            10.23           
  58      2.338       5.013       9.188       -8.475     -8.325     -8.225     9.862       9.967       10.06       11.52       11.67       11.75       7.222       7.727       8.237       1.527     1.637     1.712     8.107       8.237       8.617       1.113     1.388     1.488     35.55       45.35       57.45       0.788         1.288         3.113         -9.225       -8.975       -8.625       9.987         10.07         10.17         10.86         11.08         11.35         6.567         7.122         7.697         0.887       1.097       1.377       8.592         8.872         9.072         0.313       0.588       0.938       35.35         45.35         57.25         0.016        0.065        0.153        10.79           11.05           11.34           9.457            9.872            10.14           
  79      7.613       7.613       7.613       -9.225     -9.225     -9.225     11.14       11.14       11.14       12.36       12.37       12.37       7.837       8.347       8.862       1.932     1.937     1.937     9.312       9.312       9.312       2.063     2.063     2.063     36.15       47.55       60.55       2.163         4.138         8.338         -9.825       -9.525       -9.275       10.94         11.01         11.08         11.43         11.7          11.88         7.267         7.802         8.402         1.192       1.527       1.752       9.052         9.227         9.362         0.838       1.263       1.638       33.25         40.55         49.75         0.034        0.083        0.2          11.34           11.66           11.86           10.35            10.6             10.77           
  143     0.663       2.238       3.638       -9.225     -8.675     -8.525     9.322       9.342       9.632       10.38       10.6        10.79       6.132       6.657       7.187       0.432     0.652     0.817     8.452       8.652       9.177       0.563     0.663     0.988     35.85       46.25       58.75       0.488         0.813         1.763         -9.425       -9.175       -8.925       9.402         9.492         9.602         10.01         10.25         10.47         6.002         6.247         6.812         0.162       0.327       0.537       8.812         9.017         9.227         0.213       0.338       0.588       35.75         46.15         58.95         0.016        0.049        0.122        9.952           10.22           10.46           8.572            8.912            9.197           
  170     0.688       1.563       1.563       -8.675     -8.675     -8.625     8.672       8.727       8.727       9.992       10.05       10.05       6.002       6.002       6.377       0.052     0.077     0.077     8.497       8.567       8.567       0.288     0.338     0.338     35.85       47.55       60.65       0.513         0.688         1.563         -8.875       -8.675       -8.625       8.667         8.722         8.797         9.797         9.992         10.05         6.002         6.002         6.422         -0.093      0.047       0.072       8.497         8.567         8.897         0.163       0.288       0.338       35.35         45.15         56.15         0.002        0.006        0.023        9.792           9.987           10.04           8.002            8.002            8.257           
  190     1.263       1.388       1.638       -8.725     -8.725     -8.675     9.442       9.452       9.482       10.69       10.72       10.88       6.292       6.792       7.342       0.697     0.717     0.817     8.562       8.592       8.662       0.688     0.713     0.913     35.25       44.35       55.05       0.738         1.163         1.838         -9.575       -9.125       -8.775       9.447         9.512         9.572         9.997         10.41         10.69         6.002         6.412         6.997         0.032       0.412       0.692       8.662         8.877         9.027         0.213       0.413       0.688       34.65         43.85         55.85         0.009        0.045        0.15         9.952           10.38           10.68           8.467            9.032            9.387           
  239     0.138       0.138       0.163       -9.375     -9.375     -9.275     9.252       9.352       9.352       9.537       9.542       9.542       6.002       6.002       6.042       -0.023    -0.023    -0.018    9.062       9.257       9.257       0.063     0.088     0.088     36.35       47.45       60.15       0.063         0.163         0.338         -9.375       -9.275       -9.125       9.182         9.247         9.347         9.302         9.582         9.887         6.002         6.002         6.062         -0.113      -0.028      0.112       8.947         9.062         9.257         0.038       0.088       0.163       36.75         48.35         61.85         0.024        0.098        0.283        9.157           9.537           9.847           8.002            8.572            9.027           
  267     5.663       7.288       10.138      -8.825     -8.725     -8.525     10.2        10.23       10.26       11.5        11.59       11.78       7.282       7.772       8.312       1.437     1.517     1.697     8.457       8.567       8.722       2.413     2.563     2.863     34.15       42.65       53.25       4.663         7.088         12.638        -9.175       -8.925       -8.725       10.21         10.27         10.37         11.27         11.44         11.59         7.102         7.607         8.167         1.127       1.342       1.517       8.622         8.802         9.057         2.038       2.313       2.563       33.65         41.45         50.85         0.005        0.021        0.058        11.25           11.43           11.59           9.202            9.762            10.08           
