#log10(mass)	SFR	age	E(B-V)	U	B	BJ	V	R	I	J	K
10.4522465745	18.34	1.585	0.55	-20.4	-20.35	-20.55	-21.24	-21.82	-22.43	-23.6	-24.66
10.0737183503	0.8446	3.236	0.0	-20.0	-19.8	-19.96	-20.53	-20.99	-21.48	-22.56	-23.52
9.08026562734	0.6256	2.512	0.3	-17.76	-17.59	-17.77	-18.32	-18.78	-19.28	-20.18	-21.13
8.15198239546	9.722	0.01585	0.7	-17.27	-16.97	-17.26	-17.91	-18.44	-18.66	-19.73	-20.82
10.2931414835	1.477	2.188	0.03	-20.6	-20.48	-20.65	-21.23	-21.7	-22.19	-23.27	-24.27
7.55521540513	0.3614	0.1259	0.35	-16.25	-15.77	-15.97	-16.38	-16.7	-16.97	-17.78	-18.63
9.79858159473	7.648	1.148	0.35	-20.17	-19.84	-20.0	-20.46	-20.88	-21.38	-22.58	-23.7
9.47596158919	0.6355	3.236	0.06	-19.01	-18.63	-18.79	-19.24	-19.66	-20.12	-21.21	-22.23
8.44916973217	2.901	0.1259	0.3	-18.74	-18.05	-18.2	-18.48	-18.79	-19.17	-20.46	-21.62
8.56808433132	4.511	0.1	0.25	-19.49	-18.74	-18.88	-19.11	-19.38	-19.72	-20.95	-22.06
8.95172597542	8.71	0.1259	0.5	-18.75	-18.26	-18.44	-18.88	-19.35	-19.88	-21.42	-22.77
8.70483660621	1.12	0.631	0.35	-18.13	-17.74	-17.9	-18.32	-18.7	-19.09	-19.98	-20.87
8.50596351802	0.9006	0.5012	0.55	-16.98	-16.83	-17.03	-17.6	-18.05	-18.52	-19.45	-20.31
8.86474833563	0.8246	1.148	0.2	-18.5	-18.04	-18.19	-18.54	-18.88	-19.29	-20.35	-21.4
10.0599418881	1.197	1.995	0.03	-20.54	-20.36	-20.52	-21.01	-21.42	-21.85	-22.63	-23.48
9.57760667736	2.562	0.631	0.2	-19.94	-19.7	-19.85	-20.24	-20.61	-21.0	-21.84	-22.77
9.23451728351	14.01	0.1585	0.25	-20.86	-20.17	-20.33	-20.64	-20.96	-21.22	-22.07	-22.99
10.2307043136	10.38	1.288	0.1	-22.01	-21.61	-21.76	-22.1	-22.43	-22.77	-23.49	-24.33
9.07518185462	0.1893	3.715	0.03	-17.91	-17.54	-17.7	-18.16	-18.58	-19.05	-20.13	-21.12
