#objname,logmass,logmass_errup,logmass_errdown,logsfr,logsfr_errup,logsfr_errdown,av,av_errup,av_errdown
00449,9.84,0.15,0.18,1.04,0.40,0.47,0.55,0.43,0.33
01842,10.70,0.04,0.04,-0.31,0.93,1.24,0.04,0.04,0.03
02127,9.55,0.18,0.23,0.70,0.56,0.46,0.23,0.28,0.14
02428,10.24,0.01,0.01,-2.80,0.75,1.17,0.39,0.01,0.01
03019,10.60,0.05,0.12,-0.07,0.74,1.34,0.78,0.28,0.26
05012,9.91,0.13,0.14,1.47,0.18,0.75,0.50,0.15,0.34
05088,9.74,0.09,0.18,1.09,0.47,0.33,0.21,0.07,0.09
06131,11.59,0.04,0.05,2.02,0.49,1.03,0.49,0.09,0.10
06401,10.70,0.04,0.06,-0.90,0.82,1.27,0.92,0.23,0.18
07885,9.97,0.11,0.05,-1.47,0.61,0.94,0.66,0.10,0.09
10578,11.40,0.08,0.09,1.40,0.43,1.45,1.25,0.16,0.15
15669,10.38,0.14,0.14,2.18,0.06,0.04,1.77,0.09,0.08
18883,10.76,0.26,0.26,1.71,0.35,0.40,1.63,0.38,0.30
19203,8.97,0.07,0.03,-0.88,0.13,0.15,0.61,0.06,0.06
21662,11.33,0.05,0.12,1.18,0.58,0.94,2.31,0.19,0.21
22707,9.68,0.18,0.20,1.04,0.45,0.57,0.19,0.36,0.13
22959,10.37,0.15,0.21,1.22,0.14,0.18,1.81,0.24,0.30
23482,9.83,0.13,0.15,1.43,0.16,0.82,0.27,0.16,0.11
23720,9.10,0.12,0.09,0.42,0.26,0.56,0.29,0.06,0.07
23751,11.23,0.12,0.17,1.73,0.40,0.66,1.42,0.26,0.25
24572,8.92,0.37,0.31,0.56,0.55,0.18,0.16,0.13,0.08
25835,9.85,0.07,0.10,0.59,0.43,1.05,0.85,0.13,0.15
26600,8.93,0.08,0.07,0.04,0.40,0.12,0.21,0.05,0.03
