#objname,logmass,logmass_errup,logmass_errdown,logsfr,logsfr_errup,logsfr_errdown,av,av_errup,av_errdown
21,10.10,0.07,0.12,0.55,0.42,0.59,1.05,0.28,0.22
25,9.96,0.05,0.05,0.27,0.08,0.08,0.80,0.11,0.12
40,10.36,0.07,0.05,1.20,0.63,0.23,0.42,0.55,0.05
58,10.33,0.04,0.06,0.84,0.40,0.09,0.31,0.08,0.05
79,11.05,0.05,0.05,1.40,0.71,0.07,0.98,0.31,0.09
143,9.56,0.11,0.19,0.58,0.58,0.38,0.41,0.35,0.10
170,9.34,0.09,0.19,0.28,0.50,0.71,0.48,0.35,0.29
190,9.68,0.13,0.13,0.38,0.65,0.38,0.32,0.27,0.10
239,9.38,0.14,0.07,-0.18,0.84,0.19,0.17,0.17,0.08
267,10.31,0.07,0.08,0.92,0.26,0.23,1.46,0.12,0.11
274,9.99,0.16,0.20,1.56,0.09,0.31,0.66,0.12,0.29
300,10.17,0.15,0.18,1.52,0.11,0.32,0.80,0.11,0.35
344,9.39,0.22,0.14,0.96,0.11,0.81,0.25,0.20,0.11
407,9.61,0.08,0.06,-1.03,0.97,0.82,0.44,0.26,0.22
482,10.50,0.13,0.07,1.00,0.52,1.36,2.00,0.15,0.49
499,10.22,0.08,0.07,-1.59,1.25,1.20,0.48,0.20,0.15
513,9.96,0.05,0.05,1.49,0.07,0.11,1.23,0.08,0.08
528,11.06,0.08,0.07,1.23,0.72,2.07,1.13,0.09,0.15
533,9.25,0.17,0.15,0.74,0.10,0.93,0.20,0.15,0.08
570,9.24,0.41,0.20,0.73,0.57,0.24,0.15,0.87,0.08
601,9.37,0.10,0.18,0.90,0.09,1.08,0.25,0.11,0.18
744,10.09,0.08,0.06,1.51,0.11,0.13,0.72,0.11,0.11
797,10.49,0.07,0.09,0.71,0.62,0.18,1.11,0.39,0.14
931,9.68,0.07,0.07,0.55,0.32,0.80,0.59,0.16,0.22
952,9.33,0.17,0.19,0.89,0.12,0.72,0.84,0.18,0.40
994,10.03,0.20,0.10,1.85,0.14,1.14,1.62,0.10,0.59
1025,9.75,0.09,0.23,1.02,0.19,0.60,0.98,0.20,0.24
1205,8.93,0.19,0.15,0.04,0.30,0.20,0.29,0.22,0.10
1256,11.23,0.04,0.02,0.24,0.53,0.79,0.92,0.09,0.11
1603,9.10,0.22,0.18,0.55,0.24,0.28,0.26,0.05,0.05
1609,9.36,0.22,0.42,0.87,0.05,0.09,0.34,0.11,0.10
1695,9.20,0.26,0.25,0.40,0.24,0.34,0.35,0.16,0.10
1772,9.98,0.06,0.07,-0.34,0.59,1.01,1.99,0.16,0.16
1826,9.56,0.08,0.09,1.11,0.14,0.15,1.57,0.16,0.15
1848,10.41,0.07,0.07,2.20,0.06,0.07,1.49,0.10,0.10
1851,11.00,0.03,0.05,-0.35,0.87,1.25,0.58,0.13,0.13
1862,10.07,0.20,0.11,0.75,0.36,0.37,1.05,0.08,0.07
1872,9.89,0.08,0.07,-0.88,1.52,1.69,0.76,0.30,0.19
1886,10.01,0.08,0.04,1.55,0.07,0.16,1.45,0.07,0.10
1918,10.70,0.06,0.07,1.76,0.08,0.08,1.52,0.10,0.15
2013,9.92,0.11,0.06,1.41,0.07,0.79,0.99,0.11,0.22
2046,10.07,0.11,0.28,1.20,0.38,0.43,0.44,0.21,0.17
2068,9.36,0.09,0.12,0.62,0.24,0.23,0.30,0.61,0.10
2096,9.42,0.09,0.09,0.60,0.49,0.13,1.04,0.16,0.09
2100,9.27,0.15,0.10,0.03,0.55,0.11,0.30,0.63,0.08
2102,9.32,0.20,0.12,0.86,0.22,0.99,0.36,0.15,0.14
2149,9.38,0.07,0.10,0.75,0.09,0.88,0.13,0.08,0.06
2228,10.60,0.10,0.11,0.34,0.74,1.29,1.44,0.19,0.17
2583,9.82,0.08,0.10,1.52,0.04,0.05,0.86,0.07,0.08
2697,10.25,0.16,0.30,1.17,0.43,0.57,0.62,0.24,0.33
2784,9.40,0.12,0.14,1.10,0.14,0.16,0.52,0.06,0.13
2793,10.71,0.06,0.06,-0.20,1.84,0.87,1.89,0.10,0.15
2862,10.57,0.04,0.05,1.45,0.07,0.07,0.55,0.07,0.05
2903,9.70,0.14,0.13,0.27,0.16,0.23,0.87,0.18,0.15
2921,10.18,0.10,0.10,1.33,0.24,0.59,1.39,0.08,0.16
2976,9.87,0.03,0.04,1.12,0.16,0.13,0.51,0.12,0.04
3315,8.98,0.04,0.05,-0.08,0.35,0.08,0.21,0.06,0.06
3336,9.37,0.11,0.09,0.33,0.43,0.95,0.42,0.20,0.16
3371,10.27,0.06,0.04,-0.10,0.47,0.72,0.49,0.17,0.13
