# objname,logmass,logmass_errup,logmass_errdown,logsfr100,logsfr100_errup,logsfr100_errdown,logsfr10,logsfr10_errup,logsfr10_errdown,mwa,mwa_errup,mwa_errdown,av,av_errup,av_errdown
105,9.93,0.05,0.06,0.55,0.14,0.09,0.70,0.10,0.07,1.28,0.11,0.09,0.05,0.07,0.03
322,9.44,0.18,0.26,0.70,0.20,0.16,0.73,0.18,0.17,0.71,0.32,0.34,0.14,0.20,0.08
404,9.59,0.14,0.21,0.59,0.31,0.38,0.59,0.31,0.39,0.88,0.26,0.36,0.31,0.31,0.19
444,9.26,0.15,0.21,0.52,0.13,0.15,0.54,0.09,0.08,0.91,0.20,0.33,0.05,0.07,0.03
489,10.40,0.12,0.13,1.78,0.15,0.18,1.75,0.13,0.14,0.61,0.26,0.24,0.54,0.12,0.15
490,10.11,0.15,0.21,1.85,0.20,0.17,1.99,0.19,0.15,0.40,0.45,0.32,1.52,0.23,0.20
600,9.68,0.10,0.28,0.75,0.29,0.20,0.75,0.32,0.20,0.91,0.17,0.47,0.24,0.30,0.17
687,10.13,0.12,0.25,1.31,0.17,0.20,1.27,0.32,0.18,0.66,0.37,0.34,0.33,0.36,0.10
693,9.67,0.15,0.18,1.08,0.22,0.41,1.03,0.21,0.35,0.71,0.41,0.34,0.88,0.36,0.46
754,8.77,0.30,0.35,0.40,0.10,0.14,0.47,0.06,0.04,0.54,0.45,0.36,0.02,0.04,0.01
1112,9.49,0.25,0.27,0.83,0.14,0.13,0.94,0.11,0.14,0.74,0.32,0.35,0.16,0.10,0.08
1224,9.24,0.16,0.21,0.44,0.16,0.12,0.51,0.13,0.11,0.76,0.28,0.36,0.07,0.09,0.05
1280,9.84,0.09,0.11,0.85,0.18,0.17,0.82,0.17,0.15,1.04,0.27,0.33,0.08,0.23,0.06
1284,9.24,0.20,0.26,0.68,0.19,0.16,0.70,0.18,0.12,0.50,0.29,0.28,0.11,0.21,0.07
1340,9.00,0.24,0.28,0.41,0.15,0.13,0.49,0.10,0.11,0.62,0.36,0.36,0.05,0.07,0.04
1526,9.80,0.10,0.12,0.73,0.21,0.18,0.71,0.24,0.16,0.86,0.22,0.28,0.11,0.26,0.08
1558,10.18,0.20,0.24,1.70,0.23,0.21,1.72,0.23,0.21,0.41,0.42,0.23,0.99,0.44,0.32
1604,9.93,0.14,0.21,1.25,0.17,0.12,1.33,0.13,0.12,0.68,0.27,0.33,0.18,0.12,0.11
1644,9.34,0.18,0.23,0.55,0.33,0.28,0.60,0.30,0.31,0.62,0.33,0.34,0.21,0.31,0.12
1673,10.41,0.08,0.12,1.43,0.30,0.14,1.50,0.20,0.13,0.84,0.19,0.28,0.36,0.15,0.10
1747,9.57,0.13,0.22,0.80,0.21,0.16,0.77,0.18,0.13,0.76,0.22,0.34,0.10,0.16,0.07
1853,9.94,0.16,0.22,1.21,0.25,0.29,1.28,0.25,0.28,0.73,0.33,0.37,1.20,0.40,0.35
1859,9.55,0.10,0.15,0.40,0.29,0.28,0.38,0.27,0.29,0.79,0.24,0.26,0.19,0.18,0.12
1860,9.79,0.10,0.11,0.99,0.12,0.11,1.05,0.12,0.12,0.78,0.24,0.27,0.16,0.10,0.09
1904,9.91,0.10,0.10,1.12,0.18,0.19,1.12,0.12,0.14,0.84,0.24,0.24,0.08,0.11,0.05
2138,9.84,0.14,0.27,1.22,0.28,0.16,1.30,0.26,0.17,0.62,0.22,0.23,0.55,0.30,0.29
2169,9.83,0.11,0.14,0.70,0.30,0.32,0.70,0.31,0.33,0.98,0.22,0.32,0.40,0.38,0.26
2202,9.28,0.27,0.44,0.62,0.14,0.20,0.75,0.14,0.19,0.87,0.35,0.62,0.19,0.17,0.13
2501,9.89,0.13,0.12,1.02,0.26,0.20,1.07,0.24,0.21,0.85,0.22,0.25,0.41,0.37,0.22
2507,9.41,0.13,0.17,0.32,0.35,0.33,0.32,0.36,0.34,0.93,0.23,0.37,0.32,0.44,0.23
2669,9.83,0.11,0.15,0.91,0.38,0.22,0.90,0.29,0.15,0.93,0.24,0.47,0.23,0.32,0.13
2717,11.07,0.06,0.10,0.96,0.65,1.34,0.96,0.65,1.27,1.17,0.26,0.29,0.82,0.20,0.19
2961,9.18,0.19,0.23,0.48,0.23,0.23,0.50,0.16,0.15,0.60,0.36,0.33,0.10,0.12,0.07
2983,8.95,0.23,0.28,0.40,0.19,0.20,0.43,0.16,0.13,0.60,0.33,0.36,0.10,0.15,0.07
3032,10.10,0.18,0.16,1.58,0.18,0.13,1.68,0.20,0.14,0.74,0.27,0.33,0.50,0.25,0.22
3066,9.19,0.19,0.26,0.37,0.28,0.20,0.43,0.27,0.20,0.71,0.31,0.41,0.18,0.33,0.10
3209,9.92,0.10,0.08,1.02,0.13,0.14,1.01,0.11,0.11,0.77,0.26,0.25,0.05,0.08,0.03
3374,9.18,0.22,0.26,0.57,0.15,0.12,0.69,0.12,0.13,0.62,0.38,0.28,0.11,0.10,0.07
3437,9.50,0.14,0.15,0.83,0.17,0.25,0.80,0.12,0.17,0.70,0.36,0.24,0.13,0.10,0.08
3496,9.55,0.13,0.35,1.09,0.46,0.22,1.11,0.47,0.17,0.36,0.39,0.23,0.19,0.66,0.12
3518,10.17,0.09,0.10,1.22,0.18,0.32,1.22,0.18,0.28,0.93,0.40,0.33,0.57,0.22,0.31
3738,9.27,0.19,0.22,0.54,0.17,0.17,0.58,0.12,0.14,0.71,0.27,0.32,0.08,0.13,0.05
3749,9.05,0.15,0.16,0.45,0.17,0.11,0.51,0.10,0.08,0.60,0.20,0.26,0.03,0.05,0.02
3759,9.32,0.19,0.24,0.43,0.35,0.28,0.44,0.37,0.25,0.76,0.29,0.34,0.26,0.52,0.18
3789,9.75,0.11,0.13,0.85,0.19,0.26,0.84,0.18,0.14,0.88,0.23,0.28,0.09,0.12,0.06
3959,9.15,0.19,0.27,0.52,0.17,0.12,0.62,0.09,0.09,0.66,0.25,0.34,0.05,0.08,0.03
4165,9.80,0.08,0.08,0.58,0.35,0.25,0.65,0.33,0.11,1.28,0.18,0.39,0.08,0.40,0.06
4219,10.32,0.08,0.08,1.74,0.23,0.29,1.71,0.19,0.15,0.72,0.21,0.25,0.53,0.27,0.14
4277,9.11,0.19,0.27,0.30,0.24,0.20,0.33,0.21,0.18,0.72,0.30,0.33,0.16,0.25,0.11
4386,9.56,0.11,0.26,0.54,0.35,0.34,0.56,0.38,0.27,0.91,0.28,0.45,0.40,0.43,0.27
4654,9.85,0.16,0.17,1.21,0.25,0.21,1.22,0.26,0.20,0.69,0.24,0.42,0.42,0.40,0.25
4773,10.02,0.17,0.65,1.57,0.19,0.21,1.69,0.13,0.10,0.59,0.24,0.52,0.36,0.22,0.15
4821,10.32,0.06,0.09,0.92,0.29,0.43,0.95,0.32,0.47,0.90,0.23,0.20,0.47,0.22,0.22
5013,9.16,0.29,0.30,0.47,0.14,0.10,0.61,0.07,0.08,0.79,0.42,0.38,0.05,0.06,0.03
5026,8.81,0.23,0.40,0.30,0.20,0.14,0.43,0.08,0.07,0.60,0.31,0.30,0.04,0.08,0.03
5077,9.38,0.15,0.18,0.49,0.14,0.13,0.53,0.10,0.10,0.85,0.25,0.33,0.04,0.08,0.03
5087,9.71,0.16,0.23,0.86,0.19,0.16,0.92,0.14,0.15,0.94,0.22,0.35,0.08,0.12,0.05
5088,9.79,0.09,0.15,1.33,0.18,0.15,1.25,0.18,0.11,0.26,0.17,0.12,0.17,0.13,0.05
5107,9.48,0.12,0.12,0.59,0.22,0.15,0.55,0.18,0.17,0.84,0.23,0.30,0.13,0.16,0.09
5113,9.58,0.12,0.16,0.58,0.34,0.25,0.54,0.29,0.28,0.81,0.28,0.32,0.22,0.32,0.15
5278,9.55,0.15,0.20,0.78,0.17,0.09,0.83,0.10,0.08,0.73,0.15,0.24,0.06,0.07,0.04
5319,9.06,0.20,0.31,0.42,0.19,0.18,0.46,0.14,0.13,0.56,0.29,0.26,0.09,0.11,0.06
5559,9.96,0.08,0.07,0.87,0.08,0.06,1.08,0.06,0.10,1.27,0.06,0.10,0.09,0.06,0.07
5652,10.87,0.10,0.15,1.99,0.15,0.18,1.95,0.12,0.15,0.77,0.18,0.34,1.40,0.16,0.15
5868,10.06,0.09,0.15,1.30,0.27,0.21,1.33,0.25,0.22,0.68,0.26,0.26,0.35,0.38,0.20
5966,9.22,0.28,0.20,0.93,0.10,0.17,1.02,0.12,0.18,0.42,0.26,0.24,0.27,0.11,0.23
6178,9.50,0.18,0.24,0.87,0.14,0.18,0.87,0.13,0.10,0.65,0.23,0.23,0.08,0.09,0.05
6192,9.55,0.22,0.23,1.07,0.29,0.20,1.21,0.15,0.32,0.41,0.53,0.26,0.49,0.27,0.23
6433,9.93,0.08,0.07,1.12,0.22,0.22,1.12,0.19,0.22,0.79,0.29,0.31,0.49,0.40,0.22
6572,9.57,0.11,0.11,0.69,0.24,0.14,0.69,0.18,0.12,0.69,0.28,0.28,0.07,0.14,0.05
6954,10.14,0.08,0.11,1.32,0.17,0.14,1.30,0.22,0.13,0.62,0.27,0.27,0.32,0.23,0.19
6959,9.22,0.14,0.22,0.54,0.13,0.12,0.51,0.14,0.11,0.60,0.27,0.29,0.09,0.16,0.07
7052,9.53,0.10,0.11,0.65,0.23,0.14,0.61,0.16,0.11,0.82,0.33,0.21,0.06,0.11,0.04
7100,9.66,0.13,0.10,0.75,0.17,0.14,0.70,0.11,0.14,0.81,0.26,0.28,0.05,0.12,0.04
7355,9.93,0.10,0.13,0.77,0.30,0.31,0.72,0.35,0.27,0.99,0.25,0.28,0.50,0.34,0.27
7480,9.36,0.13,0.24,0.68,0.21,0.18,0.69,0.19,0.16,0.81,0.32,0.47,0.15,0.17,0.10
7545,9.86,0.09,0.09,1.85,0.08,0.13,1.86,0.08,0.11,0.23,0.23,0.17,1.14,0.15,0.28
7881,10.20,0.10,0.13,1.29,0.33,0.19,1.39,0.22,0.27,0.81,0.24,0.36,0.72,0.35,0.20
8193,10.14,0.11,0.18,1.31,0.21,0.23,1.38,0.26,0.26,0.86,0.25,0.31,1.19,0.38,0.37
8231,10.11,0.07,0.08,1.41,0.26,0.19,1.37,0.15,0.17,0.74,0.22,0.24,0.28,0.14,0.16
