# objname,logmass,logmass_errup,logmass_errdown,logsfr100,logsfr100_errup,logsfr100_errdown,logsfr10,logsfr10_errup,logsfr10_errdown,mwa,mwa_errup,mwa_errdown,av,av_errup,av_errdown
21,10.00,0.07,0.08,0.62,0.14,0.14,0.56,0.15,0.13,2.48,0.55,0.41,1.10,0.19,0.16
25,9.14,0.08,0.05,1.16,0.04,0.04,1.15,0.03,0.03,0.18,0.56,0.13,1.18,0.06,0.06
40,10.46,0.06,0.21,1.24,0.27,0.09,1.30,0.18,0.08,3.04,0.25,1.43,0.39,0.26,0.07
58,10.26,0.05,0.06,0.97,0.07,0.07,1.10,0.06,0.05,2.92,0.17,0.19,0.29,0.07,0.05
79,11.09,0.03,0.03,1.51,0.10,0.12,1.51,0.09,0.09,2.57,0.17,0.21,1.13,0.09,0.06
143,9.59,0.09,0.15,0.55,0.13,0.13,0.59,0.12,0.11,2.31,0.38,0.66,0.54,0.10,0.10
170,9.41,0.05,0.07,-0.01,0.19,0.13,-0.01,0.15,0.11,2.89,0.38,0.47,0.18,0.17,0.08
190,9.74,0.05,0.07,0.32,0.14,0.11,0.34,0.11,0.07,2.46,0.35,0.40,0.24,0.21,0.07
239,9.45,0.06,0.07,0.03,0.16,0.11,0.08,0.14,0.10,2.89,0.69,0.37,0.12,0.17,0.05
267,10.29,0.05,0.05,1.20,0.09,0.10,1.10,0.06,0.07,2.52,0.54,0.39,1.55,0.16,0.16
274,10.14,0.06,0.07,0.99,0.28,0.13,1.01,0.15,0.14,2.30,0.28,0.28,0.52,0.11,0.19
300,10.26,0.05,0.05,0.79,0.09,0.08,0.83,0.11,0.08,2.53,0.61,0.25,0.58,0.10,0.18
344,9.33,0.13,0.11,0.74,0.15,0.26,0.59,0.11,0.13,1.14,0.73,0.62,0.21,0.08,0.08
407,9.60,0.09,0.06,-0.07,0.20,1.12,-0.15,0.18,1.15,2.44,0.45,0.42,0.43,0.16,0.14
