#lambda_AA	response
        6904.194      0.01002393
        6904.865      0.01029345
         6905.54      0.01056451
        6906.207      0.01083241
        6906.882      0.01110346
        6907.557      0.01137468
        6908.232      0.01164568
        6908.907      0.01191687
        6909.582      0.01218785
         6910.25      0.01248105
        6910.925      0.01281971
        6911.597      0.01315643
        6912.272      0.01349517
        6912.948      0.01383421
         6913.62      0.01417134
        6914.295      0.01451021
        6914.963      0.01484545
        6915.639      0.01518468
        6916.314      0.01552395
        6916.991      0.01586352
        6917.667      0.01620288
        6918.339      0.01654056
        6919.011      0.01687828
        6919.687      0.01721778
        6920.359      0.01760926
        6921.036      0.01805001
        6921.712      0.01849104
        6922.385      0.01892917
        6923.062      0.01937012
        6923.738      0.01981072
        6924.407       0.0202465
        6925.083      0.02068733
         6925.76      0.02112815
        6926.437      0.02156893
        6927.114      0.02200964
        6927.783      0.02244554
         6928.46      0.02288652
        6929.137      0.02332716
        6929.811      0.02376547
        6930.488      0.02429201
        6931.161      0.02484854
        6931.839      0.02540864
        6932.516      0.02596824
        6933.186       0.0265217
        6933.863      0.02708113
        6934.541      0.02764089
        6935.219      0.02820057
        6935.896      0.02876018
        6936.566      0.02931325
        6937.245      0.02987308
        6937.922      0.03043241
        6938.597      0.03098889
        6939.275      0.03154851
        6939.953      0.03210765
        6940.627      0.03275544
        6941.306      0.03341441
        6941.976      0.03406533
        6942.654      0.03472388
        6943.333      0.03538291
        6944.012      0.03604192
         6944.69      0.03670049
        6945.369      0.03735955
         6946.04      0.03801149
        6946.719       0.0386706
        6947.394      0.03932587
        6948.073      0.03998539
        6948.751      0.04064456
        6949.427      0.04130034
        6950.106      0.04198408
        6950.785      0.04279867
        6951.457      0.04360366
        6952.136       0.0444184
        6952.815      0.04523245
        6953.495      0.04604688
         6954.17      0.04685586
        6954.846      0.04766532
        6955.526       0.0484792
        6956.206       0.0492929
        6956.882      0.05010241
        6957.562      0.05091588
        6958.238      0.05172506
        6958.917      0.05253812
        6959.598      0.05335154
         6960.27      0.05417431
         6960.95      0.05503494
         6961.63      0.05589538
        6962.311      0.05675632
        6962.991      0.05761653
        6963.664      0.05846727
        6964.345      0.05932771
        6965.025      0.06018736
        6965.702       0.0610432
        6966.383       0.0619032
        6967.063      0.06276306
         6967.74      0.06361772
        6968.421      0.06447786
        6969.095      0.06532801
        6969.776      0.06618783
        6970.457      0.06713932
        6971.138      0.06813575
        6971.819      0.06913213
        6972.493      0.07011704
        6973.174      0.07111403
        6973.855      0.07211018
        6974.533      0.07310124
        6975.215      0.07409798
        6975.896       0.0750948
        6976.575      0.07608622
