#lambda_AA	response
3002.00 0.000000e+00
3014.10 0.000000e+00
3026.20 0.000000e+00
3038.30 0.000000e+00
3050.40 0.000000e+00
3062.51 0.000000e+00
3074.61 0.000000e+00
3086.71 0.000000e+00
3098.81 0.000000e+00
3110.91 0.000000e+00
3123.01 0.000000e+00
3135.11 0.000000e+00
3147.21 0.000000e+00
3159.31 0.000000e+00
3171.41 0.000000e+00
3183.52 0.000000e+00
3195.62 0.000000e+00
3207.72 0.000000e+00
3219.82 0.000000e+00
3231.92 0.000000e+00
3244.02 0.000000e+00
3256.12 0.000000e+00
3268.22 0.000000e+00
3280.32 2.496162e-04
3292.42 9.661515e-04
3304.53 1.847808e-03
3316.63 2.923808e-03
3328.73 4.216818e-03
3340.83 5.726717e-03
3352.93 7.463909e-03
3365.03 9.649697e-03
3377.13 1.209821e-02
3389.23 1.495759e-02
3401.33 1.825100e-02
3413.43 2.198721e-02
3425.54 2.607896e-02
3437.64 3.089682e-02
3449.74 3.603123e-02
3461.84 4.152974e-02
3473.94 4.761270e-02
3486.04 5.356920e-02
3498.14 5.989859e-02
3510.24 6.627439e-02
3522.34 7.197823e-02
3534.44 7.818111e-02
3546.55 8.425100e-02
3558.65 9.027034e-02
3570.75 9.629724e-02
3582.85 1.012976e-01
3594.95 1.066361e-01
3607.05 1.117933e-01
3619.15 1.168336e-01
3631.25 1.226799e-01
3643.35 1.267629e-01
3655.45 1.322654e-01
3667.56 1.377010e-01
3679.66 1.428256e-01
3691.76 1.474758e-01
3703.86 1.525159e-01
3715.96 1.573323e-01
3728.06 1.598865e-01
3740.16 1.638022e-01
3752.26 1.650498e-01
3764.36 1.672687e-01
3776.46 1.672660e-01
3788.57 1.656169e-01
3800.67 1.657820e-01
3812.77 1.635423e-01
3824.87 1.600327e-01
3836.97 1.562062e-01
3849.07 1.503307e-01
3861.17 1.440998e-01
3873.27 1.362790e-01
3885.37 1.268766e-01
3897.47 1.184129e-01
3909.58 1.079711e-01
3921.68 9.736655e-02
3933.78 8.755233e-02
3945.88 7.632276e-02
3957.98 6.681132e-02
3970.08 5.655468e-02
3982.18 4.760373e-02
3994.28 3.945123e-02
4006.38 3.206843e-02
4018.48 2.558042e-02
4030.59 2.017762e-02
4042.69 1.544576e-02
4054.79 1.188479e-02
4066.89 8.819000e-03
4078.99 6.464030e-03
4091.09 4.742273e-03
4103.19 3.329273e-03
4115.29 2.362222e-03
4127.39 1.654212e-03
4139.49 1.127273e-03
4151.60 7.842727e-04
4163.70 5.286061e-04
4175.80 3.437374e-04
4187.90 2.669495e-04
4200.00 1.920000e-04
