#lambda_AA	response
37224.90   0.001201
37251.60   0.001099
37278.40   0.001117
37305.20   0.001213
37332.10   0.001211
37359.00   0.001253
37385.90   0.001231
37412.90   0.001209
37439.90   0.001237
37466.90   0.001197
37494.00   0.001128
37521.20   0.001091
37548.30   0.001037
37575.50   0.000956
37602.80   0.000858
37630.10   0.000717
37657.40   0.000602
37684.80   0.000578
37712.20   0.000587
37739.60   0.000474
37767.10   0.000377
37794.60   0.000317
37822.20   0.000233
37849.80   0.000230
37877.50   0.000157
37905.10   0.000228
37932.90   0.000424
37960.60   0.000474
37988.40   0.000563
38016.30   0.000633
38044.20   0.000451
38072.10   0.000464
38100.10   0.000850
38128.10   0.000942
38156.20   0.000812
38184.30   0.001039
38212.40   0.001136
38240.60   0.001040
38268.80   0.001322
38297.10   0.001361
38325.40   0.001194
38353.70   0.001184
38382.10   0.001108
38410.50   0.001127
38439.00   0.001191
38467.50   0.001142
38496.10   0.001138
38524.70   0.000946
38553.30   0.000972
38582.00   0.001021
38610.70   0.000773
38639.50   0.000693
38668.30   0.000647
38697.20   0.000523
38726.10   0.000451
38755.00   0.000366
38784.00   0.000398
38813.00   0.000391
38842.10   0.000223
38871.20   0.000226
38900.40   0.000307
38929.60   0.000401
38958.90   0.000664
38988.10   0.001206
39017.50   0.001624
39046.90   0.001920
39076.30   0.002697
39105.80   0.003559
39135.30   0.004236
39164.80   0.005163
39194.40   0.006273
39224.10   0.007327
39253.80   0.008786
39283.50   0.010680
39313.30   0.012370
39343.10   0.014320
39373.00   0.016680
39402.90   0.019370
39432.90   0.022320
39462.90   0.025810
39492.90   0.029940
39523.00   0.034790
39553.20   0.040240
39583.40   0.046900
39613.60   0.054810
39643.90   0.063810
39674.20   0.074360
39704.60   0.086690
39735.00   0.101000
39765.50   0.117500
39796.00   0.135800
39826.60   0.157300
39857.20   0.179300
39887.90   0.202300
39918.60   0.228100
39949.30   0.252200
39980.10   0.277500
40011.00   0.300400
40041.90   0.320700
40072.80   0.339000
40103.80   0.355000
40134.90   0.366900
40165.90   0.375500
40197.10   0.380500
40228.30   0.383700
40259.50   0.385400
40290.80   0.384600
40322.10   0.382400
40353.50   0.379800
40384.90   0.378100
40416.40   0.374300
40447.90   0.369500
40479.50   0.365700
40511.10   0.360700
40542.80   0.356800
40574.50   0.353100
40606.30   0.348800
40638.10   0.344300
40670.00   0.340200
40701.90   0.336700
40733.90   0.333700
40765.90   0.330800
40798.00   0.328300
40830.10   0.326800
40862.30   0.326200
40894.50   0.325400
40926.80   0.324900
40959.10   0.325100
40991.50   0.326000
41023.90   0.328300
41056.40   0.330300
41088.90   0.332400
41121.50   0.335100
41154.20   0.338600
41186.80   0.344800
41219.60   0.350700
41252.40   0.355200
41285.20   0.361700
41318.10   0.368900
41351.10   0.376400
41384.10   0.383800
41417.10   0.391600
41450.20   0.399500
41483.40   0.408500
41516.60   0.418100
41549.90   0.426900
41583.20   0.434900
41616.60   0.441100
41650.00   0.447300
41683.50   0.454500
41717.00   0.460500
41750.60   0.466000
41784.20   0.470900
41817.90   0.475500
41851.70   0.479800
41885.50   0.484100
41919.30   0.488500
41953.30   0.490800
41987.20   0.492200
42021.30   0.494800
42055.30   0.496700
42089.50   0.497200
42123.70   0.497400
42157.90   0.497000
42192.20   0.497200
42226.60   0.496300
42261.00   0.494200
42295.50   0.492300
42330.00   0.490400
42364.60   0.488300
42399.20   0.487300
42433.90   0.484700
42468.70   0.480500
42503.50   0.477300
42538.30   0.474900
42573.30   0.472800
42608.20   0.470400
42643.30   0.468000
42678.40   0.467400
42713.50   0.466400
42748.70   0.464600
42784.00   0.465100
42819.30   0.465900
42854.70   0.465700
42890.20   0.466200
42925.70   0.467700
42961.30   0.471400
42996.90   0.474400
43032.60   0.477300
43068.30   0.480700
43104.10   0.483200
43140.00   0.486400
43175.90   0.490200
43211.90   0.492900
43247.90   0.495400
43284.00   0.498300
43320.20   0.501400
43356.40   0.504600
43392.70   0.506900
43429.00   0.509000
43465.40   0.510800
43501.90   0.512800
43538.40   0.514800
43575.00   0.515600
43611.60   0.516200
43648.30   0.519400
43685.10   0.522800
43721.90   0.523700
43758.80   0.525200
43795.80   0.527900
43832.80   0.529900
43869.90   0.531300
43907.10   0.533600
43944.30   0.536800
43981.50   0.539100
44018.90   0.540700
44056.30   0.542300
44093.70   0.543800
44131.30   0.545900
44168.90   0.547300
44206.50   0.547000
44244.20   0.547100
44282.00   0.547900
44319.90   0.548000
44357.80   0.548100
44395.70   0.548100
44433.80   0.546400
44471.90   0.546200
44510.10   0.546700
44548.30   0.544300
44586.60   0.541900
44625.00   0.541700
44663.40   0.541800
44701.90   0.540000
44740.50   0.537500
44779.10   0.536500
44817.80   0.535100
44856.60   0.532300
44895.40   0.531000
44934.30   0.529700
44973.30   0.526600
45012.40   0.523500
45051.50   0.521800
45090.60   0.519100
45129.90   0.516500
45169.20   0.515500
45208.60   0.513500
45248.00   0.511000
45287.50   0.509900
45327.10   0.508200
45366.80   0.506700
45406.50   0.506900
45446.30   0.506900
45486.20   0.505200
45526.10   0.504000
45566.10   0.503700
45606.20   0.503200
45646.30   0.503400
45686.50   0.503200
45726.80   0.501800
45767.20   0.500600
45807.60   0.499800
45848.10   0.498100
45888.70   0.495500
45929.30   0.493900
45970.10   0.493000
46010.90   0.491100
46051.70   0.488900
46092.70   0.486000
46133.70   0.483600
46174.70   0.481200
46215.90   0.477700
46257.10   0.475200
46298.40   0.472500
46339.80   0.469700
46381.20   0.470500
46422.80   0.471700
46464.40   0.472600
46506.00   0.474400
46547.80   0.475100
46589.60   0.476500
46631.50   0.479700
46673.50   0.482600
46715.50   0.484500
46757.60   0.486300
46799.80   0.488900
46842.10   0.491000
46884.50   0.492300
46926.90   0.494100
46969.40   0.495500
47012.00   0.497000
47054.70   0.498300
47097.40   0.498500
47140.20   0.497900
47183.10   0.496600
47226.10   0.494600
47269.10   0.493800
47312.30   0.492300
47355.50   0.489100
47398.70   0.485300
47442.10   0.483300
47485.60   0.480500
47529.10   0.476700
47572.70   0.473800
47616.40   0.470700
47660.10   0.467100
47704.00   0.464800
47747.90   0.462200
47791.90   0.458200
47836.00   0.454300
47880.20   0.451300
47924.40   0.449600
47968.80   0.448500
48013.20   0.446700
48057.70   0.445200
48102.30   0.443600
48146.90   0.442100
48191.70   0.442100
48236.50   0.442100
48281.40   0.440500
48326.40   0.439900
48371.50   0.441000
48416.60   0.441100
48461.90   0.440500
48507.20   0.440900
48552.70   0.441000
48598.20   0.440600
48643.70   0.441100
48689.40   0.441000
48735.20   0.441100
48781.00   0.441400
48827.00   0.441800
48873.00   0.443500
48919.10   0.444100
48965.30   0.444600
49011.60   0.445400
49057.90   0.446100
49104.40   0.446000
49150.90   0.443800
49197.60   0.441900
49244.30   0.439100
49291.10   0.434400
49338.00   0.427100
49385.00   0.418700
49432.10   0.410800
49479.20   0.402300
49526.50   0.393600
49573.80   0.386100
49621.30   0.380000
49668.80   0.376400
49716.40   0.374300
49764.10   0.372600
49811.90   0.371600
49859.80   0.372800
49907.80   0.368600
49955.90   0.356200
50004.10   0.330300
50052.30   0.293200
50100.70   0.247800
50149.20   0.192700
50197.70   0.139000
50246.30   0.096840
50295.10   0.065350
50343.90   0.042360
50392.80   0.027350
50441.90   0.017490
50491.00   0.010810
50540.20   0.006694
50589.50   0.003758
50638.90   0.001993
50688.40   0.000901
50738.00   0.000591
50787.70   0.000486
50837.50   0.000303
50887.40   0.000300
50937.40   0.000369
50987.40   0.000303
51037.60   0.000205
51087.90   0.000180
51138.30   0.000096
51188.80   0.000108
51239.40   0.000118
51290.00   0.000190
51340.80   0.000274
51391.70   0.000265
51442.70   0.000305
51493.80   0.000315
51545.00   0.000283
51596.30   0.000371
51647.60   0.000458
51699.10   0.000466
51750.70   0.000460
51802.40   0.000500
51854.20   0.000489
51906.10   0.000411
51958.10   0.000421
52010.30   0.000477
52062.50   0.000431
52114.80   0.000384
52167.20   0.000402
52219.80   0.000386
