#lambda_AA	response
12658.00     0.001400
12733.00     0.002171
12808.00     0.009850
12883.00     0.002600
12958.00     0.009100
13033.00     0.000000
13258.00     0.006450
13333.00     0.002200
13408.00     0.002100
13483.00     0.008200
13558.00     0.000000
13633.00     0.007300
13783.00     0.000150
13858.00     0.000000
14008.00     0.006300
14083.00     0.002300
14158.00     0.000000
14233.00     0.002200
14308.00     0.004200
14383.00     0.004900
14458.00     0.000950
14533.00     0.000400
14608.00     0.000000
14758.00     0.000600
14983.00     0.000667
15058.00     0.000000
15133.00     0.001000
15208.00     0.001450
15283.00     0.000133
15508.00     0.000000
15583.00     0.000633
15658.00     0.000000
15733.00     0.000900
15808.00     0.003400
15883.00     0.000000
15958.00     0.001000
16183.00     0.000000
16258.00     0.001800
16333.00     0.000000
16408.00     0.000900
16483.00     0.000000
16558.00     0.001367
16633.00     0.000000
16708.00     0.000600
16783.00     0.004400
16858.00     0.000000
16933.00     0.001800
17008.00     0.000633
17233.00     0.000467
17308.00     0.000167
17383.00     0.000767
17458.00     0.002500
17758.00     0.000000
17833.00     0.000333
17908.00     0.000500
18133.00     0.000275
18208.00     0.002000
18283.00     0.000000
18358.00     0.001700
18508.00     0.000000
18583.00     0.002600
18658.00     0.000000
18808.00     0.001400
18883.00     0.000075
18958.00     0.000000
19033.00     0.003000
19108.00     0.002967
19183.00     0.003000
19258.00     0.002333
19333.00     0.002550
19408.00     0.000950
19483.00     0.001950
19558.00     0.002100
19633.00     0.003100
19708.00     0.006000
19783.00     0.008525
19858.00     0.017475
19933.00     0.029800
20008.00     0.057301
20083.00     0.112475
20158.00     0.224722
20233.00     0.398753
20308.00     0.590375
20383.00     0.714400
20458.00     0.770100
20533.00     0.794650
20608.00     0.812650
20683.00     0.829600
20758.00     0.848150
20833.00     0.859700
20908.00     0.862520
20983.00     0.865750
21058.00     0.864700
21133.00     0.862700
21208.00     0.861660
21283.00     0.862260
21358.00     0.866900
21433.00     0.871475
21508.00     0.876820
21583.00     0.881650
21658.00     0.880800
21733.00     0.879075
21808.00     0.873520
21883.00     0.865620
21958.00     0.856880
22033.00     0.852360
22108.00     0.849280
22183.00     0.857300
22258.00     0.865680
22333.00     0.873360
22408.00     0.872660
22483.00     0.866660
22558.00     0.863500
22633.00     0.863740
22708.00     0.870040
22783.00     0.857640
22858.00     0.773800
22933.00     0.603883
23008.00     0.407903
23083.00     0.250140
23158.00     0.146360
23233.00     0.083100
23308.00     0.045220
23383.00     0.025060
23458.00     0.014000
23533.00     0.008500
23608.00     0.005367
23683.00     0.002400
23758.00     0.001917
23833.00     0.002217
23908.00     0.001867
23983.00     0.001267
24058.00     0.000500
24133.00     0.001800
24208.00     0.000767
24283.00     0.000800
24358.00     0.000750
24433.00     0.001333
24508.00     0.000367
24583.00     0.001033
24658.00     0.001750
24733.00     0.000800
24808.00     0.000800
24883.00     0.000517
24958.00     0.000357
25033.00     0.000071
25108.00     0.000167
25183.00     0.000600
25258.00     0.000000
25333.00     0.002200
25408.00     0.000000
25483.00     0.000650
25558.00     0.000300
25633.00     0.001450
25708.00     0.000000
25783.00     0.000750
25858.00     0.000000
25933.00     0.000629
26008.00     0.000100
26083.00     0.000471
26158.00     0.001214
26233.00     0.000000
26308.00     0.001057
26383.00     0.000071
26458.00     0.000000
26533.00     0.000086
26608.00     0.000000
26683.00     0.000914
26758.00     0.000643
26833.00     0.000057
26908.00     0.000000
26983.00     0.000600
27058.00     0.001400
