#lambda_AA	response
3511.0  0.3785  
3516.7  0.3931  
3524.2  0.4223  
3531.7  0.4467  
3535.4  0.4662  
3539.2  0.4759  
3546.7  0.4906  
3550.4  0.4906  
3556.0  0.5053  
3569.1  0.5394  
3574.7  0.5540  
3580.4  0.5735  
3586.0  0.5833  
3593.4  0.5931  
3600.9  0.5981  
3606.5  0.6078  
3612.1  0.6176  
3621.5  0.6323  
3627.1  0.6469  
3642.1  0.6665  
3647.7  0.6812  
3653.3  0.6958  
3662.6  0.7056  
3670.1  0.7106  
3675.7  0.7301  
3681.3  0.7350  
3690.7  0.7497  
3692.6  0.7643  
3700.1  0.8080  
3711.2  0.7645  
3737.3  0.7648  
3750.4  0.7698  
3763.5  0.7894  
3771.0  0.8041  
3782.2  0.8139  
3789.6  0.8140  
3800.8  0.8190  
3825.1  0.8242  
3832.6  0.8243  
3843.8  0.8244  
3858.7  0.8149  
3875.4  0.8005  
3886.6  0.7861  
3899.7  0.7669  
3910.8  0.7525  
3916.4  0.7574  
3927.6  0.7575  
3933.2  0.7430  
3935.0  0.6799  
3936.8  0.6363  
3940.4  0.5781  
3942.2  0.5053  
3945.8  0.4422  
3946.9  0.3694  
3947.5  0.2918  
3953.0  0.2190  
3954.7  0.1317  
3960.2  0.08325  
3962.1  0.05900  
3967.6  0.02995  
3980.7  0.02040  
3997.4  0.01091  
4021.7  0.006362
4062.7  0.006880
4111.2  0.01234  
