#lambda_AA	response
8839.72 1.019185e-03
8860.86 1.974662e-03
8882.00 3.686482e-03
8903.15 7.340016e-03
8924.29 1.564306e-02
8945.44 3.425697e-02
8966.58 7.372010e-02
8987.73 1.438077e-01
9008.87 2.387945e-01
9030.02 3.278305e-01
9051.16 3.821652e-01
9072.31 4.005788e-01
9093.45 4.021761e-01
9114.59 4.010761e-01
9135.74 3.995313e-01
9156.88 3.986759e-01
9178.03 3.989470e-01
9199.17 4.006153e-01
9220.32 4.045390e-01
9241.46 4.097297e-01
9262.61 4.129887e-01
9283.75 4.155009e-01
9304.89 4.170244e-01
9326.04 4.188184e-01
9347.18 4.206755e-01
9368.33 4.229703e-01
9389.47 4.247931e-01
9410.62 4.238185e-01
9431.76 4.197815e-01
9452.91 4.166045e-01
9474.05 4.172362e-01
9495.20 4.220872e-01
9516.34 4.257241e-01
9537.48 4.258314e-01
9558.63 4.229683e-01
9579.77 4.217726e-01
9600.92 4.221567e-01
9622.06 4.231494e-01
9643.21 4.229246e-01
9664.35 4.226807e-01
9685.50 4.239281e-01
9706.64 4.267268e-01
9727.78 4.294376e-01
9748.93 4.303081e-01
9770.07 4.316640e-01
9791.22 4.353988e-01
9812.36 4.415394e-01
9833.51 4.462083e-01
9854.65 4.488829e-01
9875.80 4.490886e-01
9896.94 4.485451e-01
9918.08 4.478714e-01
9939.23 4.463140e-01
9960.37 4.428785e-01
9981.52 4.403070e-01
10002.66 4.400096e-01
10023.81 4.419235e-01
10044.95 4.423748e-01
10066.10 4.385876e-01
10087.24 4.314561e-01
10108.39 4.271230e-01
10129.53 4.272446e-01
10150.67 4.324543e-01
10171.82 4.374314e-01
10192.96 4.367118e-01
10214.11 4.309005e-01
10235.25 4.272005e-01
10256.40 4.307939e-01
10277.54 4.426847e-01
10298.69 4.563666e-01
10319.83 4.664381e-01
10340.97 4.696237e-01
10362.12 4.689207e-01
10383.26 4.691676e-01
10404.41 4.713774e-01
10425.55 4.739455e-01
10446.70 4.730077e-01
10467.84 4.678211e-01
10488.99 4.608646e-01
10510.13 4.524431e-01
10531.27 4.464438e-01
10552.42 4.474102e-01
10573.56 4.535794e-01
10594.71 4.608869e-01
10615.85 4.629616e-01
10637.00 4.525993e-01
10658.14 4.170455e-01
10679.29 3.424672e-01
10700.43 2.448830e-01
10721.58 1.564212e-01
10742.72 9.380594e-02
10763.86 5.231654e-02
10785.01 2.723678e-02
10806.15 1.402744e-02
10827.30 7.584655e-03
10848.44 4.580865e-03
10869.59 2.957173e-03
10890.73 2.090818e-03
10911.88 1.488794e-03
10933.02 1.024597e-03
